label,method,family,budget,task,samples,correct,accuracy,mean_ttft_ms,p95_ttft_ms,mean_effective_keep_ratio,mean_selected_kv_bytes,mean_total_ssd_read_bytes,mean_prefetch_wait_ms
k005_impress,IMPRESS,impress,0.05,sst2,32,27,0.84375,2017.8572343720589,3093.5930645791814,0.05435862353338082,11879424.0,88139520.0,1397.8886805707589
k005_impress,IMPRESS,impress,0.05,subj,32,26,0.8125,1878.5049875295954,2162.5114218797535,0.05327116184755861,13477696.0,97435392.0,1107.060011010617
k005_impress,IMPRESS,impress,0.05,trec,32,23,0.71875,1920.7010465906933,2271.3623988674954,0.05,14163968.0,108425984.0,1151.6063094459241
k005_impress,IMPRESS,impress,0.05,rte,32,29,0.90625,2953.9287789084483,3254.143240954727,0.06809799593602206,23473024.0,155202240.0,1893.9961996366037
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,sst2,32,26,0.8125,240.32266344875097,261.29997896496207,0.04792869325636316,10474240.0,17211392.0,29.23306946468074
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,subj,32,6,0.1875,231.86771478503942,257.3431571247056,0.049912576091179904,12627968.0,19132416.0,23.639939332497306
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,trec,32,21,0.65625,363.43303916510195,386.31565186660737,0.05101214574898785,14450688.0,26513408.0,128.56075332092587
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,rte,32,28,0.875,355.0774397153873,363.5684912092984,0.04974213941107969,17145856.0,27062272.0,54.654376916005276
k005_ours,Ours,ours,0.05,sst2,32,27,0.84375,374.7275010246085,399.0959004499018,0.048326976421636615,10561280.0,17953984.0,49.097546536359005
k005_ours,Ours,ours,0.05,subj,32,27,0.84375,570.0408534612507,624.300552229397,0.04929129970211112,12470784.0,34289664.0,81.13656032946892
k005_ours,Ours,ours,0.05,trec,32,23,0.71875,538.2203063199995,607.3411293094978,0.04939271255060729,13991936.0,38278144.0,76.68241090141237
k005_ours,Ours,ours,0.05,rte,32,30,0.9375,628.6226748197805,688.5655512101948,0.04926923408275305,16982848.0,45993984.0,88.60890426149126
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,sst2,32,27,0.84375,328.47986205888446,362.66572582535446,0.09744114780522548,21294592.0,19021824.0,95.98283148079645
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,subj,32,16,0.5,346.51742277492303,397.17265132348984,0.10063463281958296,25460736.0,21446656.0,105.42783136770595
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,trec,32,20,0.625,527.6629218424205,584.9267746089026,0.09959514170040486,28213248.0,30449664.0,255.18739137623925
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,rte,32,29,0.90625,500.62857547891326,568.0603590095416,0.10031608717351523,34578432.0,29659136.0,167.0161028887378
k010_ours,Ours,ours,0.1,sst2,32,26,0.8125,566.0139342071488,670.7923234207556,0.09792406614311955,21400128.0,30143744.0,119.57662874192465
k010_ours,Ours,ours,0.1,subj,32,26,0.8125,740.9959468786838,898.9570164587349,0.09931012012692657,25125632.0,35240448.0,156.66568408778403
k010_ours,Ours,ours,0.1,trec,32,19,0.59375,745.0777056074003,873.4676888445392,0.0992689054366686,28120832.0,39032832.0,161.1456484242808
k010_ours,Ours,ours,0.1,rte,32,30,0.9375,860.1882851362461,935.5257468763739,0.09932794341326615,34237824.0,47045120.0,205.97813854692504
k010_impress,IMPRESS,impress,0.1,sst2,32,27,0.84375,2595.466063299682,2892.3126321751624,0.13437898283165273,29366912.0,131371136.0,1861.6948830895126
k010_impress,IMPRESS,impress,0.1,subj,32,24,0.75,2604.7151831298834,2913.585075130686,0.13231770496049736,33476608.0,149083904.0,1822.0051987736952
k010_impress,IMPRESS,impress,0.1,trec,32,23,0.71875,2855.772978073219,3098.7937692319974,0.13214285714285715,37433344.0,161270784.0,2021.6522178525338
k010_impress,IMPRESS,impress,0.1,rte,32,30,0.9375,4041.225080785807,4532.940084952861,0.1322872353066996,45598720.0,225370816.0,3008.9026937494054
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,sst2,32,28,0.875,1077.9231807828182,1308.3976988215,0.2484912096562582,54304768.0,40284672.0,660.1539601979312
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,subj,32,18,0.5625,1364.8119322606362,1687.232728744857,0.24932003626473254,63078400.0,50019328.0,888.7472265923861
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,trec,32,20,0.625,1476.729425645317,1791.5860606124625,0.25182186234817816,71335936.0,60525056.0,989.1293471300742
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,rte,32,29,0.90625,2097.8154335316503,2420.4653681023046,0.24937614373648312,85958656.0,85485568.0,1508.5541949956678
k025_ours,Ours,ours,0.25,sst2,32,29,0.90625,923.0291896528797,1066.086194384843,0.24802410550286763,54202688.0,39658560.0,414.06566053046845
k025_ours,Ours,ours,0.25,subj,32,28,0.875,1123.1603557534982,1321.8828491866589,0.24935443919181452,63087104.0,48305664.0,550.8053630619543
k025_ours,Ours,ours,0.25,trec,32,20,0.625,1026.826114699361,1248.5461411532015,0.24939361625216888,70648064.0,44405504.0,423.66781568853185
k025_ours,Ours,ours,0.25,rte,32,30,0.9375,2015.9314786433242,2389.480738271959,0.24938821238443806,85962816.0,97016320.0,1302.062106115045
k025_impress,IMPRESS,impress,0.25,sst2,32,28,0.875,3119.3009575945325,3411.939291516319,0.30781724425535106,67269760.0,162203648.0,2386.667515980662
k025_impress,IMPRESS,impress,0.25,subj,32,27,0.84375,3527.760422017309,3844.7761287214234,0.28515625,72145024.0,204882432.0,2727.0102220063563
k025_impress,IMPRESS,impress,0.25,trec,32,20,0.625,4341.551063989755,4615.200417721644,0.3052455357142857,86469760.0,228545792.0,3312.194828497013
k025_impress,IMPRESS,impress,0.25,rte,32,30,0.9375,5898.0108855321305,6408.699982822873,0.2784998336383297,95997440.0,313510656.0,4652.432166461949
k050_ours,Ours,ours,0.5,sst2,32,29,0.90625,1461.845332858502,2074.905614857562,0.49885025021554147,109017728.0,46863744.0,808.8612213905435
k050_ours,Ours,ours,0.5,subj,32,26,0.8125,1952.7140303398483,2659.786287182942,0.4995891885766092,126396928.0,67868672.0,1204.0875642705942
k050_ours,Ours,ours,0.5,trec,32,22,0.6875,4024.358232418308,4475.292319641449,0.49964484528629266,141539072.0,170462720.0,3149.2280130187282
k050_ours,Ours,ours,0.5,rte,32,30,0.9375,5079.387515157578,5642.978669749573,0.4996156599805119,172214912.0,216399168.0,4003.3360349043505
k050_impress,IMPRESS,impress,0.5,sst2,32,29,0.90625,3143.1873133406043,4155.724227195606,0.5453202313790906,119173184.0,151712928.0,2252.8893016133225
k050_impress,IMPRESS,impress,0.5,subj,32,27,0.84375,4006.2378418806475,4722.694289823994,0.5379464285714286,136101376.0,210199552.0,2967.8178021713393
k050_impress,IMPRESS,impress,0.5,trec,32,20,0.625,5197.4710161739495,6392.052406887524,0.5876116071428571,166458240.0,275210496.0,4078.1465912878048
k050_impress,IMPRESS,impress,0.5,rte,32,30,0.9375,7061.331380464253,7802.750139194541,0.524632667490553,180838144.0,369332544.0,5607.618892041501
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,sst2,32,29,0.90625,2343.8660960964626,2955.3432010812685,0.5003935974809761,109355008.0,83315200.0,1738.3852878410835
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,subj,32,25,0.78125,3101.6564332094276,3888.2751391269267,0.499546690843155,126386176.0,112824832.0,2400.643614018918
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,trec,32,23,0.71875,4008.38924360869,4716.710947360843,0.5012145748987854,141983744.0,154655232.0,3242.0292776514543
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,rte,32,29,0.90625,5192.94613567763,6016.713295225054,0.49958409582432206,172204032.0,190155776.0,4115.907985076774
