label,method,family,budget,task,samples,correct,accuracy,mean_ttft_ms,p95_ttft_ms,mean_effective_keep_ratio,mean_selected_kv_bytes,mean_total_ssd_read_bytes,mean_prefetch_wait_ms
k005_impress,IMPRESS,impress,0.05,overall,128,105,0.8203125,2192.748011850199,3181.6340558463708,0.05643194532924037,15748528.0,112300784.0,1387.637800165976
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,overall,128,81,0.6328125,297.6752142785699,379.9931733170524,0.04964888862690265,13674688.0,22479872.0,59.0220347585273
k005_ours,Ours,ours,0.05,overall,128,107,0.8359375,527.9028339064098,659.6424168208614,0.04907005568927702,13501712.0,34128944.0,73.88135550718289
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,overall,128,95,0.7421875,1504.3199930551054,2319.2405438283454,0.249752313001413,68669440.0,59078656.0,1011.6461822290148
k025_ours,Ours,ours,0.25,overall,128,107,0.8359375,1272.2367846872658,2176.231441088021,0.2490400933328223,68475168.0,57346512.0,672.6502363489999
k025_impress,IMPRESS,impress,0.25,overall,128,105,0.8203125,4221.655832283432,6124.234847910702,0.2941797159019916,80470496.0,227285632.0,3269.576183236495
k025_ours_uniform,Ours-Uniform,ours,0.25,overall,128,104,0.8125,1362.1309793270484,2328.9141583954915,0.2490296817968266,68472832.0,57889408.0,714.0986150770914
k050_ours,Ours,ours,0.5,overall,128,107,0.8359375,3129.576277693559,5273.1510371901095,0.49942498601473884,137292160.0,125398576.0,2291.378208396054
k050_impress,IMPRESS,impress,0.5,overall,128,106,0.828125,4852.056887964864,7433.639034163207,0.5488777336459824,150642736.0,251613880.0,3726.618146778492
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,overall,128,106,0.828125,3661.7144771480525,5582.79985662084,0.5001847397618097,137482240.0,135237760.0,2874.2415411470574
