label,method,family,budget,task,samples,correct,accuracy,mean_ttft_ms,p95_ttft_ms,mean_effective_keep_ratio,mean_selected_kv_bytes,mean_total_ssd_read_bytes,mean_prefetch_wait_ms
k005_impress,IMPRESS,impress,0.05,sst2,100,91,0.91,1691.4306929521263,2009.3665467109531,0.05384975821869026,11768217.6,87947059.2,1072.7156280493364
k005_impress,IMPRESS,impress,0.05,subj,110,86,0.7818181818181819,1687.0711976323616,2053.6797540728003,0.05379160730475327,13609369.6,94209563.92727272,981.4326121006161
k005_impress,IMPRESS,impress,0.05,trec,120,90,0.75,1931.2502563465387,2274.879878899082,0.05,14163968.0,102931797.33333333,1143.1540912987355
k005_impress,IMPRESS,impress,0.05,rte,80,71,0.8875,3091.1166264209896,3885.064169508405,0.068310032797015,23546112.0,163302553.6,2057.2108540625777
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,sst2,100,87,0.87,222.71079065743834,251.5819874824956,0.04790493683697568,10469048.32,16936632.32,21.9030917622149
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,subj,110,25,0.22727272727272727,237.57447720589963,268.6883245361969,0.049922878572017285,12630574.545454545,18601797.818181816,17.210474220866505
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,trec,120,84,0.7,378.026093969432,449.08699749503285,0.05101214574898785,14450688.0,25457459.2,102.35514868594085
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,rte,80,68,0.85,341.079580783844,411.3538613542914,0.04974213941107969,17145856.0,26025164.8,34.04250550665893
k005_ours,Ours,ours,0.05,sst2,100,92,0.92,433.3564163884148,505.24662111420184,0.04833489522809911,10563010.56,21104435.2,60.91506637632847
k005_ours,Ours,ours,0.05,subj,110,88,0.8,577.840456916866,686.8403122993186,0.04928118119414584,12468224.0,34202642.61818182,80.84033385596491
k005_ours,Ours,ours,0.05,trec,120,89,0.7416666666666667,608.4644127675953,679.2704228544608,0.04939464044727203,13992482.133333333,38598246.4,94.14144858795528
k005_ours,Ours,ours,0.05,rte,80,73,0.9125,761.7151354730595,873.2992276782169,0.04926793438220405,16982400.0,46384537.6,106.79403588874266
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,sst2,100,91,0.91,335.0903313001618,374.5207585627213,0.09747160475315816,21301248.0,18360401.92,81.5209703007713
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,subj,110,60,0.5454545454545454,350.78159204091537,399.8997930204496,0.10063463281958296,25460736.0,20976584.145454545,91.16233725693415
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,trec,120,86,0.7166666666666667,566.2821399513632,647.4453774746507,0.09959514170040486,28213248.0,30485572.266666666,248.40908655508733
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,rte,80,68,0.85,506.97158554103225,585.610155807808,0.10031608717351523,34578432.0,29325312.0,147.57504785084166
k010_ours,Ours,ours,0.1,sst2,100,92,0.92,561.4148956676945,659.1441001510248,0.09794523372193276,21404753.92,29902796.8,114.11866616923362
k010_ours,Ours,ours,0.1,subj,110,88,0.8,641.0902789878575,736.879273224622,0.09930384665198808,25124044.8,34440880.872727275,123.13724910332398
k010_ours,Ours,ours,0.1,trec,120,85,0.7083333333333334,695.1269297705343,778.1075449893251,0.09926884518989781,28120814.933333334,38755396.266666666,139.66731221880764
k010_ours,Ours,ours,0.1,rte,80,74,0.925,870.4868694650941,1005.9588190866634,0.09932534401216817,34236928.0,47172812.8,210.98284559557214
k010_impress,IMPRESS,impress,0.1,sst2,100,91,0.91,2493.6863183695823,2890.201976150274,0.13397730254526372,29279129.6,130563768.32,1835.2132433559746
k010_impress,IMPRESS,impress,0.1,subj,110,84,0.7636363636363637,2452.4624699599703,2960.0387716898695,0.13231770496049736,33476608.0,144676305.45454547,1697.3219539377499
k010_impress,IMPRESS,impress,0.1,trec,120,87,0.725,2698.4845546927922,3022.101080114953,0.13214285714285715,37433344.0,155041860.26666668,1861.6080419238035
k010_impress,IMPRESS,impress,0.1,rte,80,70,0.875,3975.2076784032397,4332.642653374933,0.1322872353066996,45598720.0,235522201.6,2923.3040223945864
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,sst2,100,93,0.93,982.5559393176809,1203.6732929758728,0.24849120965625823,54304768.0,38407372.8,594.453098862432
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,subj,110,68,0.6181818181818182,1178.2401962629096,1420.1593400910497,0.24932003626473254,63078400.0,47298522.763636366,706.0285494832152
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,trec,120,89,0.7416666666666667,1284.520296996925,1512.1529031777754,0.25182186234817816,71335936.0,54030062.93333333,813.1506081049641
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,rte,80,67,0.8375,2236.481628799811,2555.1028401125222,0.24937614373648312,85958656.0,96033177.6,1550.8163677004632
k025_ours,Ours,ours,0.25,sst2,100,95,0.95,951.6734485141933,1095.9874966414645,0.24804710049855683,54207713.28,37511639.04,403.6504335515201
k025_ours,Ours,ours,0.25,subj,110,89,0.8090909090909091,1062.8150813704865,1281.0074388049543,0.24935359291660286,63086889.89090909,42899716.654545456,452.5400615720586
k025_ours,Ours,ours,0.25,trec,120,86,0.7166666666666667,1059.5707640168257,1190.8618605928496,0.24939343551185658,70648012.8,42109474.13333333,402.6948442605014
k025_ours,Ours,ours,0.25,rte,80,74,0.925,2356.097688782029,2654.016735986806,0.2493831992537491,85961088.0,112377856.0,1586.7688967147842
k025_impress,IMPRESS,impress,0.25,sst2,100,92,0.92,4080.7066861214116,9055.863145575855,0.3073820144693931,67174645.76,162598707.2,3310.9470033459365
k025_impress,IMPRESS,impress,0.25,subj,110,96,0.8727272727272727,5732.265399138189,20759.99284072313,0.2840909090909091,71875490.9090909,198017917.6727273,4879.956474713981
k025_impress,IMPRESS,impress,0.25,trec,120,82,0.6833333333333333,8565.896094590425,28726.99349115137,0.30424107142857143,86185216.0,214798813.86666667,7618.096810098116
k025_impress,IMPRESS,impress,0.25,rte,80,73,0.9125,21445.66060618963,44104.86398895737,0.2778302279154883,95766630.4,331858406.4,20373.395386181073
k050_ours,Ours,ours,0.5,sst2,100,95,0.95,2002.2361503634602,4005.4635803680862,0.4988645649810698,109020856.32,60582031.36,1221.6836702311411
k050_ours,Ours,ours,0.5,subj,110,92,0.8363636363636363,2285.9685862817887,4264.51253707055,0.4995826023477882,126395261.67272727,73426013.0909091,1410.1804396433924
k050_ours,Ours,ours,0.5,trec,120,92,0.7666666666666667,3508.4171946858987,4588.006021548063,0.4996433391170233,141538645.33333334,136803532.8,2527.1569701998183
k050_ours,Ours,ours,0.5,rte,80,74,0.925,5276.029068930075,5800.039551733061,0.4996141746084559,172214400.0,216414412.8,4045.198405883275
k050_impress,IMPRESS,impress,0.5,sst2,100,93,0.93,9247.725604372099,23130.681266705506,0.5469046369531807,119519436.8,158441799.68,8446.532833608799
k050_impress,IMPRESS,impress,0.5,subj,110,95,0.8636363636363636,12371.575124032626,37554.14550518616,0.5386363636363637,136275930.76363635,208566681.6,11479.145724394104
k050_impress,IMPRESS,impress,0.5,trec,120,88,0.7333333333333333,22944.46260346643,47018.743782746606,0.5855654761904762,165878613.33333334,255914052.26666668,21903.956337746542
k050_impress,IMPRESS,impress,0.5,rte,80,74,0.925,20028.97448548465,56036.84854104649,0.5239631360363144,180607360.0,380169932.8,18765.85497527849
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,sst2,100,94,0.94,2510.136385783553,3242.505270265974,0.5003935974809761,109355008.0,83533004.8,1720.0158376945183
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,subj,110,81,0.7363636363636363,2992.8170248781416,3648.5583963105455,0.499546690843155,126386176.0,106790614.10909091,2062.6963563390414
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,trec,120,89,0.7416666666666667,3622.8445559584848,4348.24813362211,0.5012145748987854,141983744.0,137468040.53333333,2606.8667188442
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,rte,80,69,0.8625,5819.516491662944,6490.701712667942,0.4995840958243221,172204032.0,211759513.6,4299.573542538565
