label,method,family,budget,task,samples,correct,accuracy,mean_ttft_ms,p95_ttft_ms,mean_effective_keep_ratio,mean_selected_kv_bytes,mean_total_ssd_read_bytes,mean_prefetch_wait_ms
k005_impress,IMPRESS,impress,0.05,overall,410,338,0.824390243902439,2033.5616144147225,3255.4031197912973,0.05552891524183679,15261506.185365854,108716531.51219513,1260.93782784599
k005_contiguouskv,ContiguousKV,contiguouskv,0.05,overall,410,264,0.6439024390243903,295.2530958473955,409.25749349407835,0.049714241388742406,13517119.687804878,21650656.780487806,46.55970639844493
k005_ours,Ours,ours,0.05,overall,410,342,0.8341463414634146,587.4415421211047,800.5325239151715,0.049081002581499805,13330476.956097562,34671431.180487804,84.93765869132447
k010_contiguouskv,ContiguousKV,contiguouskv,0.1,overall,410,305,0.7439024390243902,440.5038826633245,601.2676540762186,0.09949676600829205,27030902.63414634,24750629.463414636,145.8415813244334
k010_ours,Ours,ours,0.1,overall,410,339,0.8268292682926829,682.2331741100131,898.1950440909714,0.09896642792115404,26872127.687804878,37081095.49268293,142.9162661760773
k010_impress,IMPRESS,impress,0.1,overall,410,332,0.8097560975609757,2831.6445472389005,4150.282964087091,0.13266536458990222,35976192.0,161994072.66341463,2018.2537221735934
k025_contiguouskv,ContiguousKV,contiguouskv,0.25,overall,410,317,0.7731707317073171,1368.104832839766,2352.757105161436,0.24986107301328395,67819769.75609756,56609357.42439024,875.0044700439747
k025_ours,Ours,ours,0.25,overall,410,344,0.8390243902439024,1287.1056355774494,2471.0826197173446,0.2490523743229383,67597506.8097561,54910971.00487805,647.3398614061497
k025_impress,IMPRESS,impress,0.25,overall,410,343,0.8365853658536585,9224.829859422838,34240.520952059815,0.29444767866245597,79578841.28780487,220405784.97560975,8321.788196730224
k050_ours,Ours,ours,0.5,overall,410,353,0.8609756097560975,3157.9818253757476,5410.283448034895,0.4994314083392267,135530131.35609755,116743028.13658537,2205.2754250695793
k050_impress,IMPRESS,impress,0.5,overall,410,350,0.8536585365853658,16198.29096423303,43934.29451282131,0.5515252968806837,149503215.76585367,243682428.87804878,15212.445052673404
k050_contiguouskv,ContiguousKV,contiguouskv,0.5,overall,410,333,0.8121951219512196,3611.0394569829377,5976.436152309179,0.5002487131576699,135737443.90243903,130578521.91219512,2574.848957636916
