task,budget,period,correct,total,mean_ttft_ms
rte,0.10,1,16,16,929.8416940146126
rte,0.10,2,16,16,669.8905228986405
rte,0.10,4,16,16,489.564981602598
rte,0.10,8,15,16,392.6157454843633
rte,0.50,1,16,16,2054.6401321771555
rte,0.50,2,16,16,1937.3817561427131
rte,0.50,4,16,16,1655.3862669388764
rte,0.50,8,16,16,1537.1136002941057
sst2,0.10,1,13,16,589.9335780413821
sst2,0.10,2,13,16,354.32609281269833
sst2,0.10,4,13,16,262.32650043675676
sst2,0.10,8,13,16,249.56811004085466
sst2,0.50,1,14,16,1162.0425101718865
sst2,0.50,2,14,16,886.2321140477434
sst2,0.50,4,14,16,839.7686325479299
sst2,0.50,8,14,16,766.5337682701647
subj,0.10,1,12,16,702.6333949179389
subj,0.10,2,15,16,496.6302838874981
subj,0.10,4,11,16,370.08791405241936
subj,0.10,8,11,16,291.941481991671
subj,0.50,1,15,16,1453.4186164964922
subj,0.50,2,15,16,1082.0577800041065
subj,0.50,4,14,16,999.3456486263312
subj,0.50,8,14,16,1018.0666221422143
trec,0.10,1,11,16,609.438153624069
trec,0.10,2,10,16,431.61994899855927
trec,0.10,4,12,16,339.36785691184923
trec,0.10,8,12,16,291.7596157640219
trec,0.50,1,10,16,1457.7812454663217
trec,0.50,2,10,16,1125.2082049613819
trec,0.50,4,10,16,1066.529374802485
trec,0.50,8,11,16,1012.171043897979
