get key time: 0.00596530 s, token_id len: 64, device: disk
get key time: 0.00230751 s, token_id len: 64, device: disk
get key time: 0.01096161 s, token_id len: 64, device: disk
get key time: 0.00178343 s, token_id len: 64, device: disk
get key time: 0.00181357 s, token_id len: 64, device: disk
get key time: 0.00180668 s, token_id len: 64, device: disk
get key time: 0.00190248 s, token_id len: 64, device: disk
get key time: 0.00192045 s, token_id len: 64, device: disk
get key time: 0.00222866 s, token_id len: 64, device: disk
get key time: 0.00222299 s, token_id len: 64, device: disk
get key time: 0.00221679 s, token_id len: 64, device: disk
get key time: 0.00220923 s, token_id len: 64, device: disk
get key time: 0.00221425 s, token_id len: 64, device: disk
get key time: 0.01060974 s, token_id len: 64, device: disk
get key time: 0.00177452 s, token_id len: 64, device: disk
get key time: 0.00177400 s, token_id len: 64, device: disk
get key time: 0.00181887 s, token_id len: 64, device: disk
get key time: 0.00176299 s, token_id len: 64, device: disk
get key time: 0.00178543 s, token_id len: 64, device: disk
get key time: 0.00226964 s, token_id len: 64, device: disk
get key time: 0.00221196 s, token_id len: 30, device: disk
get key time: 0.07002959 s, token_id len: 15, device: disk
get key time: 0.00178693 s, token_id len: 7, device: disk
get key time: 0.00344069 s, token_id len: 12, device: disk
get key time: 0.00145670 s, token_id len: 8, device: disk
get key time: 0.00132642 s, token_id len: 14, device: disk
get key time: 0.00150677 s, token_id len: 9, device: disk
get key time: 0.00156218 s, token_id len: 10, device: disk
get key time: 0.00822177 s, token_id len: 11, device: disk
get key time: 0.00144973 s, token_id len: 4, device: disk
get key time: 0.00503086 s, token_id len: 10, device: disk
get key time: 0.00809357 s, token_id len: 10, device: disk
get key time: 0.00475366 s, token_id len: 10, device: disk
get key time: 0.00154948 s, token_id len: 10, device: disk
get key time: 0.00137570 s, token_id len: 10, device: disk
get key time: 0.00169680 s, token_id len: 10, device: disk
get key time: 0.00153323 s, token_id len: 10, device: disk
get key time: 0.00677916 s, token_id len: 10, device: disk
get key time: 0.00828862 s, token_id len: 10, device: disk
get key time: 0.00149588 s, token_id len: 10, device: disk
get key time: 0.00804492 s, token_id len: 10, device: disk
get key time: 0.00156850 s, token_id len: 10, device: disk
get key time: 0.00161487 s, token_id len: 10, device: disk
get key time: 0.00396804 s, token_id len: 10, device: disk
get key time: 0.00152455 s, token_id len: 10, device: disk
get key time: 0.00153582 s, token_id len: 10, device: disk
get key time: 0.00633761 s, token_id len: 10, device: disk
get key time: 0.00174283 s, token_id len: 10, device: disk
get key time: 0.00862945 s, token_id len: 10, device: disk
get key time: 0.01295959 s, token_id len: 10, device: disk
get key time: 0.00115886 s, token_id len: 10, device: disk
get key time: 0.00693517 s, token_id len: 10, device: disk
get key time: 0.00122291 s, token_id len: 10, device: disk
get key time: 0.00184612 s, token_id len: 10, device: disk
get key time: 0.00477746 s, token_id len: 10, device: disk
get key time: 0.00155682 s, token_id len: 10, device: disk
get key time: 0.00542498 s, token_id len: 10, device: disk
get key time: 0.00119972 s, token_id len: 10, device: disk
get key time: 0.00147523 s, token_id len: 10, device: disk
get key time: 0.00171222 s, token_id len: 10, device: disk
get key time: 0.00562687 s, token_id len: 10, device: disk
get key time: 0.00130652 s, token_id len: 10, device: disk
get key time: 0.00852948 s, token_id len: 10, device: disk
get key time: 0.00151444 s, token_id len: 10, device: disk
get key time: 0.00653397 s, token_id len: 10, device: disk
get key time: 0.00135794 s, token_id len: 10, device: disk
get key time: 0.00152257 s, token_id len: 10, device: disk
get key time: 0.00798672 s, token_id len: 10, device: disk
get key time: 0.00128641 s, token_id len: 10, device: disk
get key time: 0.00495987 s, token_id len: 10, device: disk
get key time: 0.00151811 s, token_id len: 10, device: disk
get key time: 0.00139592 s, token_id len: 10, device: disk
get key time: 0.01658171 s, token_id len: 10, device: disk
get key time: 0.00152588 s, token_id len: 10, device: disk
get key time: 0.00145180 s, token_id len: 10, device: disk
get key time: 0.00549516 s, token_id len: 10, device: disk
get key time: 0.00700614 s, token_id len: 10, device: disk
get key time: 0.00154994 s, token_id len: 10, device: disk
get key time: 0.01286006 s, token_id len: 10, device: disk
get key time: 0.00155956 s, token_id len: 10, device: disk
get key time: 0.00149963 s, token_id len: 10, device: disk
get key time: 0.00136494 s, token_id len: 10, device: disk
get key time: 0.01514851 s, token_id len: 10, device: disk
get key time: 0.00159609 s, token_id len: 10, device: disk
get key time: 0.00777145 s, token_id len: 10, device: disk
get key time: 0.00159543 s, token_id len: 10, device: disk
get key time: 0.00128322 s, token_id len: 10, device: disk
get key time: 0.00744895 s, token_id len: 10, device: disk
get key time: 0.00557246 s, token_id len: 10, device: disk
get key time: 0.00146475 s, token_id len: 10, device: disk
get key time: 0.00144434 s, token_id len: 10, device: disk
get key time: 0.00143901 s, token_id len: 10, device: disk
get key time: 0.00128757 s, token_id len: 10, device: disk
get key time: 0.00731091 s, token_id len: 10, device: disk
get key time: 0.00128931 s, token_id len: 10, device: disk
get key time: 0.00534687 s, token_id len: 10, device: disk
get key time: 0.00168118 s, token_id len: 10, device: disk
get key time: 0.00133792 s, token_id len: 10, device: disk
get key time: 0.01657781 s, token_id len: 10, device: disk
get key time: 0.00132899 s, token_id len: 10, device: disk
get key time: 0.00154717 s, token_id len: 10, device: disk
get key time: 0.00154959 s, token_id len: 10, device: disk
get key time: 0.00493756 s, token_id len: 49, device: disk
get key time: 0.00173116 s, token_id len: 57, device: disk
get key time: 0.00211699 s, token_id len: 52, device: disk
get key time: 0.00229974 s, token_id len: 56, device: disk
get key time: 0.00227276 s, token_id len: 50, device: disk
get key time: 0.00226034 s, token_id len: 55, device: disk
get key time: 0.00763991 s, token_id len: 54, device: disk
get key time: 0.00181602 s, token_id len: 53, device: disk
get key time: 0.00175268 s, token_id len: 60, device: disk
get key time: 0.00178748 s, token_id len: 54, device: disk
get key time: 0.00174603 s, token_id len: 54, device: disk
get key time: 0.00183638 s, token_id len: 54, device: disk
get key time: 0.00232016 s, token_id len: 54, device: disk
get key time: 0.00225035 s, token_id len: 54, device: disk
get key time: 0.00229488 s, token_id len: 54, device: disk
get key time: 0.00220902 s, token_id len: 54, device: disk
get key time: 0.01094475 s, token_id len: 54, device: disk
get key time: 0.00169040 s, token_id len: 54, device: disk
get key time: 0.00157586 s, token_id len: 54, device: disk
get key time: 0.00159677 s, token_id len: 54, device: disk
get key time: 0.00156037 s, token_id len: 20, device: disk
get key time: 0.01094642 s, token_id len: 15, device: disk
get key time: 0.00153637 s, token_id len: 8, device: disk
get key time: 0.00162571 s, token_id len: 7, device: disk
get key time: 0.00177401 s, token_id len: 10, device: disk
get key time: 0.00559586 s, token_id len: 11, device: disk
get key time: 0.00603284 s, token_id len: 12, device: disk
get key time: 0.00144500 s, token_id len: 9, device: disk
get key time: 0.00742928 s, token_id len: 14, device: disk
get key time: 0.00142331 s, token_id len: 4, device: disk
get key time: 0.00147052 s, token_id len: 10, device: disk
get key time: 0.00134939 s, token_id len: 10, device: disk
get key time: 0.01260984 s, token_id len: 10, device: disk
get key time: 0.00148167 s, token_id len: 10, device: disk
get key time: 0.01768950 s, token_id len: 10, device: disk
get key time: 0.00147326 s, token_id len: 10, device: disk
get key time: 0.00130668 s, token_id len: 10, device: disk
get key time: 0.00139991 s, token_id len: 10, device: disk
get key time: 0.00144500 s, token_id len: 10, device: disk
get key time: 0.00188802 s, token_id len: 10, device: disk
get key time: 0.00742604 s, token_id len: 10, device: disk
get key time: 0.01330144 s, token_id len: 10, device: disk
get key time: 0.00141100 s, token_id len: 10, device: disk
get key time: 0.00728171 s, token_id len: 10, device: disk
get key time: 0.00144601 s, token_id len: 10, device: disk
