get time: 0.00066321 s, token_id len: 64, device: cuda:0
get time: 0.00021738 s, token_id len: 64, device: cuda:0
get time: 0.00019292 s, token_id len: 64, device: cuda:0
get time: 0.00016142 s, token_id len: 64, device: cuda:0
get time: 0.00014330 s, token_id len: 64, device: cuda:0
get time: 0.00015046 s, token_id len: 64, device: cuda:0
get time: 0.00016911 s, token_id len: 64, device: cuda:0
get time: 0.00014792 s, token_id len: 64, device: cuda:0
get time: 0.00014696 s, token_id len: 64, device: cuda:0
get time: 0.00015592 s, token_id len: 64, device: cuda:0
get time: 0.00016782 s, token_id len: 64, device: cuda:0
get time: 0.00015130 s, token_id len: 64, device: cuda:0
get time: 0.00014058 s, token_id len: 64, device: cuda:0
get time: 0.00014819 s, token_id len: 64, device: cuda:0
get time: 0.00016228 s, token_id len: 64, device: cuda:0
get time: 0.00015104 s, token_id len: 64, device: cuda:0
get time: 0.00014350 s, token_id len: 64, device: cuda:0
get time: 0.00013914 s, token_id len: 64, device: cuda:0
get time: 0.00015579 s, token_id len: 64, device: cuda:0
get time: 0.00014186 s, token_id len: 64, device: cuda:0
get time: 0.00013466 s, token_id len: 64, device: cuda:0
get time: 0.00014302 s, token_id len: 64, device: cuda:0
get time: 0.00016304 s, token_id len: 64, device: cuda:0
get time: 0.00013459 s, token_id len: 64, device: cuda:0
get time: 0.00014250 s, token_id len: 64, device: cuda:0
get time: 0.00013628 s, token_id len: 64, device: cuda:0
get time: 0.00014261 s, token_id len: 64, device: cuda:0
get time: 0.00014380 s, token_id len: 64, device: cuda:0
get time: 0.00014037 s, token_id len: 64, device: cuda:0
get time: 0.00015040 s, token_id len: 64, device: cuda:0
get time: 0.00014817 s, token_id len: 64, device: cuda:0
get time: 0.00014045 s, token_id len: 64, device: cuda:0
get time: 0.00014143 s, token_id len: 64, device: cuda:0
get time: 0.00013810 s, token_id len: 64, device: cuda:0
get time: 0.00014760 s, token_id len: 64, device: cuda:0
get time: 0.00013925 s, token_id len: 64, device: cuda:0
get time: 0.00013458 s, token_id len: 64, device: cuda:0
get time: 0.00014010 s, token_id len: 64, device: cuda:0
get time: 0.00015247 s, token_id len: 64, device: cuda:0
get time: 0.00013506 s, token_id len: 64, device: cuda:0
get time: 0.00013475 s, token_id len: 64, device: cuda:0
get time: 0.00013206 s, token_id len: 64, device: cuda:0
get time: 0.00014854 s, token_id len: 64, device: cuda:0
get time: 0.00015667 s, token_id len: 64, device: cuda:0
get time: 0.00014170 s, token_id len: 64, device: cuda:0
get time: 0.00013889 s, token_id len: 64, device: cuda:0
get time: 0.00015547 s, token_id len: 64, device: cuda:0
get time: 0.00014107 s, token_id len: 64, device: cuda:0
get time: 0.00013377 s, token_id len: 64, device: cuda:0
get time: 0.00014213 s, token_id len: 64, device: cuda:0
get time: 0.00015024 s, token_id len: 64, device: cuda:0
get time: 0.00013855 s, token_id len: 64, device: cuda:0
get time: 0.00013373 s, token_id len: 64, device: cuda:0
get time: 0.00014012 s, token_id len: 64, device: cuda:0
get time: 0.00013489 s, token_id len: 64, device: cuda:0
get time: 0.00013475 s, token_id len: 64, device: cuda:0
get time: 0.00013372 s, token_id len: 64, device: cuda:0
get time: 0.00013944 s, token_id len: 64, device: cuda:0
get time: 0.00013831 s, token_id len: 64, device: cuda:0
get time: 0.00014017 s, token_id len: 64, device: cuda:0
get time: 0.00013534 s, token_id len: 64, device: cuda:0
get time: 0.00014927 s, token_id len: 64, device: cuda:0
get time: 0.00013439 s, token_id len: 64, device: cuda:0
get time: 0.00013864 s, token_id len: 64, device: cuda:0
get time: 0.00012792 s, token_id len: 64, device: cuda:0
get time: 0.00014032 s, token_id len: 64, device: cuda:0
get time: 0.00013226 s, token_id len: 64, device: cuda:0
get time: 0.00013914 s, token_id len: 64, device: cuda:0
get time: 0.00013854 s, token_id len: 64, device: cuda:0
get time: 0.00013634 s, token_id len: 64, device: cuda:0
get time: 0.00013384 s, token_id len: 64, device: cuda:0
get time: 0.00013572 s, token_id len: 64, device: cuda:0
get time: 0.00013859 s, token_id len: 64, device: cuda:0
get time: 0.00013679 s, token_id len: 64, device: cuda:0
get time: 0.00014806 s, token_id len: 64, device: cuda:0
get time: 0.00013771 s, token_id len: 64, device: cuda:0
get time: 0.00013993 s, token_id len: 64, device: cuda:0
get time: 0.00013997 s, token_id len: 64, device: cuda:0
get time: 0.00014203 s, token_id len: 64, device: cuda:0
get time: 0.00014380 s, token_id len: 64, device: cuda:0
get time: 0.00013588 s, token_id len: 64, device: cuda:0
get time: 0.00013542 s, token_id len: 64, device: cuda:0
get time: 0.00014776 s, token_id len: 64, device: cuda:0
get time: 0.00014437 s, token_id len: 64, device: cuda:0
get time: 0.00013486 s, token_id len: 64, device: cuda:0
get time: 0.00013798 s, token_id len: 64, device: cuda:0
get time: 0.00014617 s, token_id len: 64, device: cuda:0
get time: 0.00013791 s, token_id len: 64, device: cuda:0
get time: 0.00013471 s, token_id len: 64, device: cuda:0
get time: 0.00013713 s, token_id len: 64, device: cuda:0
get time: 0.00014175 s, token_id len: 64, device: cuda:0
get time: 0.00013820 s, token_id len: 64, device: cuda:0
get time: 0.00013365 s, token_id len: 64, device: cuda:0
get time: 0.00014267 s, token_id len: 64, device: cuda:0
get time: 0.00014619 s, token_id len: 64, device: cuda:0
