get time: 0.00105730 s, token_id len: 64, device: cuda:0
get time: 0.00049095 s, token_id len: 64, device: cuda:0
get time: 0.00053295 s, token_id len: 64, device: cuda:0
get time: 0.00021292 s, token_id len: 64, device: cuda:0
get time: 0.00016488 s, token_id len: 64, device: cuda:0
get time: 0.00020787 s, token_id len: 64, device: cuda:0
get time: 0.00041851 s, token_id len: 64, device: cuda:0
get time: 0.00020602 s, token_id len: 64, device: cuda:0
get time: 0.00014248 s, token_id len: 64, device: cuda:0
get time: 0.00020916 s, token_id len: 64, device: cuda:0
get time: 0.00037494 s, token_id len: 64, device: cuda:0
get time: 0.00021823 s, token_id len: 64, device: cuda:0
get time: 0.00014847 s, token_id len: 64, device: cuda:0
get time: 0.00023424 s, token_id len: 64, device: cuda:0
get time: 0.00035087 s, token_id len: 64, device: cuda:0
get time: 0.00025668 s, token_id len: 64, device: cuda:0
get time: 0.00013855 s, token_id len: 64, device: cuda:0
get time: 0.00016717 s, token_id len: 64, device: cuda:0
get time: 0.00033568 s, token_id len: 64, device: cuda:0
get time: 0.00016115 s, token_id len: 64, device: cuda:0
get time: 0.00013859 s, token_id len: 64, device: cuda:0
get time: 0.00016484 s, token_id len: 64, device: cuda:0
get time: 0.00031943 s, token_id len: 64, device: cuda:0
get time: 0.00016911 s, token_id len: 64, device: cuda:0
get time: 0.00015793 s, token_id len: 64, device: cuda:0
get time: 0.00014825 s, token_id len: 64, device: cuda:0
get time: 0.00014079 s, token_id len: 64, device: cuda:0
get time: 0.00021664 s, token_id len: 64, device: cuda:0
get time: 0.00013884 s, token_id len: 64, device: cuda:0
get time: 0.00019160 s, token_id len: 64, device: cuda:0
get time: 0.00020252 s, token_id len: 64, device: cuda:0
get time: 0.00016433 s, token_id len: 64, device: cuda:0
get time: 0.00013639 s, token_id len: 64, device: cuda:0
get time: 0.00017877 s, token_id len: 64, device: cuda:0
get time: 0.00022970 s, token_id len: 64, device: cuda:0
get time: 0.00017751 s, token_id len: 64, device: cuda:0
get time: 0.00015587 s, token_id len: 64, device: cuda:0
get time: 0.00018230 s, token_id len: 64, device: cuda:0
get time: 0.00024322 s, token_id len: 64, device: cuda:0
get time: 0.00016177 s, token_id len: 64, device: cuda:0
get time: 0.00013548 s, token_id len: 64, device: cuda:0
get time: 0.00013574 s, token_id len: 64, device: cuda:0
get time: 0.00021956 s, token_id len: 64, device: cuda:0
get time: 0.00018331 s, token_id len: 64, device: cuda:0
get time: 0.00013685 s, token_id len: 64, device: cuda:0
get time: 0.00016322 s, token_id len: 64, device: cuda:0
get time: 0.00021795 s, token_id len: 64, device: cuda:0
get time: 0.00016994 s, token_id len: 64, device: cuda:0
get time: 0.00015497 s, token_id len: 64, device: cuda:0
get time: 0.00018937 s, token_id len: 64, device: cuda:0
get time: 0.00024401 s, token_id len: 64, device: cuda:0
get time: 0.00018712 s, token_id len: 64, device: cuda:0
get time: 0.00018209 s, token_id len: 64, device: cuda:0
get time: 0.00016645 s, token_id len: 64, device: cuda:0
get time: 0.00017054 s, token_id len: 64, device: cuda:0
get time: 0.00015075 s, token_id len: 64, device: cuda:0
get time: 0.00013603 s, token_id len: 64, device: cuda:0
get time: 0.00013411 s, token_id len: 64, device: cuda:0
get time: 0.00013620 s, token_id len: 64, device: cuda:0
get time: 0.00019352 s, token_id len: 64, device: cuda:0
get time: 0.00015553 s, token_id len: 64, device: cuda:0
get time: 0.00018721 s, token_id len: 64, device: cuda:0
get time: 0.00016965 s, token_id len: 64, device: cuda:0
get time: 0.00016273 s, token_id len: 64, device: cuda:0
get time: 0.00013484 s, token_id len: 64, device: cuda:0
get time: 0.00017386 s, token_id len: 64, device: cuda:0
get time: 0.00015207 s, token_id len: 64, device: cuda:0
get time: 0.00017590 s, token_id len: 64, device: cuda:0
get time: 0.00015321 s, token_id len: 64, device: cuda:0
get time: 0.00015065 s, token_id len: 64, device: cuda:0
get time: 0.00015458 s, token_id len: 64, device: cuda:0
get time: 0.00015650 s, token_id len: 64, device: cuda:0
get time: 0.00015684 s, token_id len: 64, device: cuda:0
get time: 0.00015413 s, token_id len: 64, device: cuda:0
get time: 0.00024072 s, token_id len: 64, device: cuda:0
get time: 0.00017000 s, token_id len: 64, device: cuda:0
get time: 0.00015504 s, token_id len: 64, device: cuda:0
get time: 0.00015044 s, token_id len: 64, device: cuda:0
get time: 0.00021802 s, token_id len: 64, device: cuda:0
get time: 0.00016444 s, token_id len: 64, device: cuda:0
get time: 0.00013568 s, token_id len: 64, device: cuda:0
get time: 0.00015185 s, token_id len: 64, device: cuda:0
get time: 0.00024802 s, token_id len: 64, device: cuda:0
get time: 0.00018403 s, token_id len: 64, device: cuda:0
get time: 0.00013260 s, token_id len: 64, device: cuda:0
get time: 0.00015133 s, token_id len: 64, device: cuda:0
get time: 0.00022581 s, token_id len: 64, device: cuda:0
get time: 0.00015332 s, token_id len: 64, device: cuda:0
get time: 0.00013565 s, token_id len: 64, device: cuda:0
get time: 0.00015489 s, token_id len: 64, device: cuda:0
get time: 0.00021626 s, token_id len: 64, device: cuda:0
get time: 0.00017560 s, token_id len: 64, device: cuda:0
get time: 0.00015400 s, token_id len: 64, device: cuda:0
get time: 0.00017606 s, token_id len: 64, device: cuda:0
get time: 0.00022859 s, token_id len: 64, device: cuda:0
get time: 0.00015120 s, token_id len: 64, device: cuda:0
get time: 0.00013591 s, token_id len: 64, device: cuda:0
get time: 0.00013586 s, token_id len: 64, device: cuda:0
get time: 0.00021326 s, token_id len: 64, device: cuda:0
get time: 0.00016197 s, token_id len: 64, device: cuda:0
get time: 0.00013575 s, token_id len: 64, device: cuda:0
get time: 0.00016295 s, token_id len: 64, device: cuda:0
get time: 0.00021181 s, token_id len: 64, device: cuda:0
get time: 0.00015110 s, token_id len: 64, device: cuda:0
get time: 0.00013539 s, token_id len: 64, device: cuda:0
get time: 0.00015267 s, token_id len: 64, device: cuda:0
get time: 0.00022825 s, token_id len: 64, device: cuda:0
get time: 0.00016448 s, token_id len: 64, device: cuda:0
get time: 0.00013577 s, token_id len: 64, device: cuda:0
get time: 0.00017315 s, token_id len: 64, device: cuda:0
get time: 0.00020476 s, token_id len: 64, device: cuda:0
get time: 0.00016353 s, token_id len: 64, device: cuda:0
get time: 0.00013510 s, token_id len: 64, device: cuda:0
get time: 0.00016588 s, token_id len: 64, device: cuda:0
get time: 0.00015216 s, token_id len: 39, device: cuda:0
get time: 0.00018658 s, token_id len: 39, device: cuda:0
get time: 0.00018204 s, token_id len: 64, device: cuda:0
get time: 0.00015404 s, token_id len: 64, device: cuda:0
get time: 0.00014113 s, token_id len: 64, device: cuda:0
get time: 0.00015536 s, token_id len: 64, device: cuda:0
get time: 0.00013509 s, token_id len: 64, device: cuda:0
get time: 0.00013390 s, token_id len: 64, device: cuda:0
get time: 0.00013161 s, token_id len: 64, device: cuda:0
get time: 0.00013421 s, token_id len: 64, device: cuda:0
get time: 0.00013212 s, token_id len: 64, device: cuda:0
get time: 0.00016540 s, token_id len: 64, device: cuda:0
get time: 0.00013342 s, token_id len: 64, device: cuda:0
get time: 0.00014969 s, token_id len: 64, device: cuda:0
get time: 0.00015307 s, token_id len: 64, device: cuda:0
get time: 0.00015400 s, token_id len: 64, device: cuda:0
get time: 0.00013222 s, token_id len: 64, device: cuda:0
get time: 0.00013305 s, token_id len: 64, device: cuda:0
get time: 0.00013203 s, token_id len: 64, device: cuda:0
get time: 0.00017456 s, token_id len: 64, device: cuda:0
get time: 0.00015705 s, token_id len: 64, device: cuda:0
get time: 0.00014857 s, token_id len: 64, device: cuda:0
get time: 0.00013476 s, token_id len: 64, device: cuda:0
