get time: 0.00037274 s, token_id len: 64, device: cuda:0
get time: 0.00019111 s, token_id len: 64, device: cuda:0
get time: 0.00015161 s, token_id len: 32, device: cuda:0
get time: 0.00013326 s, token_id len: 32, device: cuda:0
get time: 0.00013986 s, token_id len: 7, device: cuda:0
get time: 0.00012892 s, token_id len: 7, device: cuda:0
get time: 0.00014795 s, token_id len: 14, device: cuda:0
get time: 0.00013847 s, token_id len: 14, device: cuda:0
get time: 0.00013161 s, token_id len: 24, device: cuda:0
get time: 0.00012903 s, token_id len: 24, device: cuda:0
get time: 0.00012437 s, token_id len: 9, device: cuda:0
get time: 0.00012305 s, token_id len: 9, device: cuda:0
get time: 0.00013731 s, token_id len: 7, device: cuda:0
get time: 0.00012424 s, token_id len: 7, device: cuda:0
get time: 0.00013121 s, token_id len: 8, device: cuda:0
get time: 0.00012208 s, token_id len: 8, device: cuda:0
get time: 0.00012238 s, token_id len: 2, device: cuda:0
get time: 0.00012120 s, token_id len: 2, device: cuda:0
get time: 0.00012099 s, token_id len: 2, device: cuda:0
get time: 0.00012322 s, token_id len: 2, device: cuda:0
get time: 0.00013854 s, token_id len: 17, device: cuda:0
get time: 0.00013322 s, token_id len: 17, device: cuda:0
get time: 0.00013630 s, token_id len: 18, device: cuda:0
get time: 0.00012865 s, token_id len: 18, device: cuda:0
get time: 0.00012371 s, token_id len: 8, device: cuda:0
get time: 0.00012115 s, token_id len: 8, device: cuda:0
get time: 0.00012089 s, token_id len: 8, device: cuda:0
get time: 0.00012018 s, token_id len: 8, device: cuda:0
get time: 0.00011985 s, token_id len: 2, device: cuda:0
get time: 0.00012027 s, token_id len: 2, device: cuda:0
get time: 0.00013396 s, token_id len: 8, device: cuda:0
get time: 0.00012218 s, token_id len: 8, device: cuda:0
get time: 0.00013346 s, token_id len: 3, device: cuda:0
get time: 0.00012249 s, token_id len: 3, device: cuda:0
get time: 0.00013865 s, token_id len: 41, device: cuda:0
get time: 0.00013569 s, token_id len: 41, device: cuda:0
get time: 0.00012796 s, token_id len: 3, device: cuda:0
get time: 0.00012320 s, token_id len: 3, device: cuda:0
get time: 0.00012834 s, token_id len: 1, device: cuda:0
get time: 0.00012423 s, token_id len: 1, device: cuda:0
get time: 0.00012208 s, token_id len: 2, device: cuda:0
get time: 0.00012668 s, token_id len: 2, device: cuda:0
get time: 0.00012561 s, token_id len: 9, device: cuda:0
get time: 0.00012307 s, token_id len: 9, device: cuda:0
get time: 0.00013292 s, token_id len: 6, device: cuda:0
get time: 0.00012201 s, token_id len: 6, device: cuda:0
get time: 0.00013907 s, token_id len: 45, device: cuda:0
get time: 0.00013339 s, token_id len: 45, device: cuda:0
get time: 0.00014726 s, token_id len: 55, device: cuda:0
get time: 0.00012821 s, token_id len: 55, device: cuda:0
get time: 0.00012253 s, token_id len: 57, device: cuda:0
get time: 0.00012420 s, token_id len: 57, device: cuda:0
get time: 0.00012652 s, token_id len: 58, device: cuda:0
get time: 0.00012417 s, token_id len: 58, device: cuda:0
get time: 0.00013582 s, token_id len: 64, device: cuda:0
get time: 0.00012595 s, token_id len: 64, device: cuda:0
get time: 0.00014175 s, token_id len: 64, device: cuda:0
get time: 0.00012238 s, token_id len: 64, device: cuda:0
get time: 0.00012066 s, token_id len: 26, device: cuda:0
get time: 0.00012371 s, token_id len: 26, device: cuda:0
get time: 0.00013997 s, token_id len: 28, device: cuda:0
get time: 0.00013218 s, token_id len: 28, device: cuda:0
get time: 0.00012813 s, token_id len: 64, device: cuda:0
get time: 0.00012882 s, token_id len: 64, device: cuda:0
get time: 0.00012414 s, token_id len: 64, device: cuda:0
get time: 0.00012777 s, token_id len: 64, device: cuda:0
get time: 0.00012172 s, token_id len: 64, device: cuda:0
get time: 0.00012488 s, token_id len: 64, device: cuda:0
get time: 0.00012080 s, token_id len: 26, device: cuda:0
get time: 0.00012371 s, token_id len: 26, device: cuda:0
get time: 0.00013510 s, token_id len: 28, device: cuda:0
get time: 0.00013078 s, token_id len: 28, device: cuda:0
get time: 0.00014478 s, token_id len: 64, device: cuda:0
get time: 0.00012653 s, token_id len: 64, device: cuda:0
get time: 0.00012080 s, token_id len: 64, device: cuda:0
get time: 0.00012131 s, token_id len: 64, device: cuda:0
get time: 0.00011977 s, token_id len: 64, device: cuda:0
get time: 0.00012315 s, token_id len: 64, device: cuda:0
get time: 0.00012190 s, token_id len: 26, device: cuda:0
get time: 0.00012853 s, token_id len: 26, device: cuda:0
get time: 0.00013914 s, token_id len: 28, device: cuda:0
get time: 0.00013365 s, token_id len: 28, device: cuda:0
get time: 0.00012516 s, token_id len: 64, device: cuda:0
get time: 0.00013958 s, token_id len: 64, device: cuda:0
get time: 0.00012109 s, token_id len: 64, device: cuda:0
get time: 0.00012257 s, token_id len: 64, device: cuda:0
get time: 0.00012013 s, token_id len: 64, device: cuda:0
get time: 0.00012197 s, token_id len: 64, device: cuda:0
get time: 0.00012188 s, token_id len: 26, device: cuda:0
get time: 0.00014670 s, token_id len: 26, device: cuda:0
get time: 0.00013116 s, token_id len: 2, device: cuda:0
get time: 0.00012858 s, token_id len: 2, device: cuda:0
get time: 0.00015114 s, token_id len: 30, device: cuda:0
get time: 0.00013243 s, token_id len: 30, device: cuda:0
get time: 0.00012358 s, token_id len: 57, device: cuda:0
get time: 0.00012382 s, token_id len: 57, device: cuda:0
get time: 0.00012192 s, token_id len: 64, device: cuda:0
get time: 0.00012297 s, token_id len: 64, device: cuda:0
get time: 0.00013033 s, token_id len: 64, device: cuda:0
get time: 0.00012415 s, token_id len: 64, device: cuda:0
get time: 0.00012065 s, token_id len: 64, device: cuda:0
get time: 0.00012338 s, token_id len: 64, device: cuda:0
get time: 0.00011960 s, token_id len: 64, device: cuda:0
get time: 0.00012150 s, token_id len: 64, device: cuda:0
get time: 0.00012598 s, token_id len: 26, device: cuda:0
get time: 0.00012352 s, token_id len: 26, device: cuda:0
get time: 0.00013946 s, token_id len: 3, device: cuda:0
get time: 0.00013409 s, token_id len: 3, device: cuda:0
get time: 0.00012738 s, token_id len: 10, device: cuda:0
get time: 0.00012320 s, token_id len: 10, device: cuda:0
get time: 0.00012369 s, token_id len: 6, device: cuda:0
get time: 0.00012281 s, token_id len: 6, device: cuda:0
get time: 0.00012040 s, token_id len: 8, device: cuda:0
get time: 0.00012134 s, token_id len: 8, device: cuda:0
get time: 0.00012280 s, token_id len: 4, device: cuda:0
get time: 0.00012239 s, token_id len: 4, device: cuda:0
get time: 0.00013468 s, token_id len: 48, device: cuda:0
get time: 0.00014262 s, token_id len: 48, device: cuda:0
get time: 0.00012930 s, token_id len: 57, device: cuda:0
get time: 0.00012449 s, token_id len: 57, device: cuda:0
get time: 0.00012683 s, token_id len: 59, device: cuda:0
get time: 0.00012197 s, token_id len: 59, device: cuda:0
get time: 0.00012143 s, token_id len: 60, device: cuda:0
get time: 0.00012312 s, token_id len: 60, device: cuda:0
get time: 0.00012574 s, token_id len: 61, device: cuda:0
get time: 0.00012044 s, token_id len: 61, device: cuda:0
get time: 0.00012038 s, token_id len: 61, device: cuda:0
get time: 0.00012065 s, token_id len: 61, device: cuda:0
get time: 0.00012271 s, token_id len: 23, device: cuda:0
get time: 0.00012122 s, token_id len: 23, device: cuda:0
get time: 0.00013554 s, token_id len: 4, device: cuda:0
get time: 0.00013179 s, token_id len: 4, device: cuda:0
get time: 0.00012293 s, token_id len: 13, device: cuda:0
get time: 0.00012021 s, token_id len: 13, device: cuda:0
get time: 0.00011979 s, token_id len: 8, device: cuda:0
get time: 0.00011982 s, token_id len: 8, device: cuda:0
get time: 0.00012950 s, token_id len: 11, device: cuda:0
get time: 0.00012089 s, token_id len: 11, device: cuda:0
get time: 0.00012353 s, token_id len: 6, device: cuda:0
get time: 0.00012162 s, token_id len: 6, device: cuda:0
get time: 0.00013396 s, token_id len: 26, device: cuda:0
get time: 0.00012994 s, token_id len: 26, device: cuda:0
get time: 0.00012493 s, token_id len: 15, device: cuda:0
get time: 0.00013856 s, token_id len: 15, device: cuda:0
get time: 0.00012017 s, token_id len: 4, device: cuda:0
get time: 0.00012231 s, token_id len: 4, device: cuda:0
get time: 0.00011796 s, token_id len: 13, device: cuda:0
get time: 0.00012343 s, token_id len: 13, device: cuda:0
get time: 0.00011964 s, token_id len: 3, device: cuda:0
get time: 0.00011860 s, token_id len: 3, device: cuda:0
get time: 0.00011699 s, token_id len: 2, device: cuda:0
get time: 0.00011675 s, token_id len: 2, device: cuda:0
get time: 0.00011953 s, token_id len: 3, device: cuda:0
get time: 0.00012348 s, token_id len: 3, device: cuda:0
get time: 0.00014896 s, token_id len: 23, device: cuda:0
get time: 0.00016439 s, token_id len: 23, device: cuda:0
get time: 0.00012592 s, token_id len: 17, device: cuda:0
get time: 0.00013702 s, token_id len: 17, device: cuda:0
get time: 0.00012025 s, token_id len: 5, device: cuda:0
get time: 0.00012006 s, token_id len: 5, device: cuda:0
get time: 0.00011938 s, token_id len: 9, device: cuda:0
get time: 0.00011919 s, token_id len: 9, device: cuda:0
get time: 0.00012508 s, token_id len: 1, device: cuda:0
