get time: 0.00030141 s, token_id len: 57, device: cuda:0
get time: 0.00017914 s, token_id len: 57, device: cuda:0
get time: 0.00014579 s, token_id len: 28, device: cuda:0
get time: 0.00012826 s, token_id len: 28, device: cuda:0
get time: 0.00012785 s, token_id len: 16, device: cuda:0
get time: 0.00012049 s, token_id len: 16, device: cuda:0
get time: 0.00012685 s, token_id len: 1, device: cuda:0
get time: 0.00011983 s, token_id len: 1, device: cuda:0
get time: 0.00012141 s, token_id len: 1, device: cuda:0
get time: 0.00012041 s, token_id len: 1, device: cuda:0
get time: 0.00015224 s, token_id len: 12, device: cuda:0
get time: 0.00012883 s, token_id len: 12, device: cuda:0
get time: 0.00012155 s, token_id len: 11, device: cuda:0
get time: 0.00011995 s, token_id len: 11, device: cuda:0
get time: 0.00011822 s, token_id len: 14, device: cuda:0
get time: 0.00012023 s, token_id len: 14, device: cuda:0
get time: 0.00011827 s, token_id len: 11, device: cuda:0
get time: 0.00011958 s, token_id len: 11, device: cuda:0
get time: 0.00012396 s, token_id len: 10, device: cuda:0
get time: 0.00011921 s, token_id len: 10, device: cuda:0
get time: 0.00012098 s, token_id len: 6, device: cuda:0
get time: 0.00012085 s, token_id len: 6, device: cuda:0
get time: 0.00012155 s, token_id len: 5, device: cuda:0
get time: 0.00012100 s, token_id len: 5, device: cuda:0
get time: 0.00013977 s, token_id len: 9, device: cuda:0
get time: 0.00012984 s, token_id len: 9, device: cuda:0
get time: 0.00013131 s, token_id len: 12, device: cuda:0
get time: 0.00011931 s, token_id len: 12, device: cuda:0
get time: 0.00011925 s, token_id len: 15, device: cuda:0
get time: 0.00011756 s, token_id len: 15, device: cuda:0
get time: 0.00012160 s, token_id len: 17, device: cuda:0
get time: 0.00011648 s, token_id len: 17, device: cuda:0
get time: 0.00011487 s, token_id len: 12, device: cuda:0
get time: 0.00011597 s, token_id len: 12, device: cuda:0
get time: 0.00012135 s, token_id len: 19, device: cuda:0
get time: 0.00012093 s, token_id len: 19, device: cuda:0
get time: 0.00012066 s, token_id len: 8, device: cuda:0
get time: 0.00011799 s, token_id len: 8, device: cuda:0
get time: 0.00013758 s, token_id len: 29, device: cuda:0
get time: 0.00013175 s, token_id len: 29, device: cuda:0
get time: 0.00012039 s, token_id len: 13, device: cuda:0
get time: 0.00011947 s, token_id len: 13, device: cuda:0
get time: 0.00011925 s, token_id len: 15, device: cuda:0
get time: 0.00011610 s, token_id len: 15, device: cuda:0
get time: 0.00014165 s, token_id len: 11, device: cuda:0
get time: 0.00012411 s, token_id len: 11, device: cuda:0
get time: 0.00011650 s, token_id len: 9, device: cuda:0
get time: 0.00011655 s, token_id len: 9, device: cuda:0
get time: 0.00011713 s, token_id len: 11, device: cuda:0
get time: 0.00011720 s, token_id len: 11, device: cuda:0
get time: 0.00011619 s, token_id len: 6, device: cuda:0
get time: 0.00012285 s, token_id len: 6, device: cuda:0
get time: 0.00013865 s, token_id len: 52, device: cuda:0
get time: 0.00013342 s, token_id len: 52, device: cuda:0
get time: 0.00012145 s, token_id len: 57, device: cuda:0
get time: 0.00012343 s, token_id len: 57, device: cuda:0
get time: 0.00011849 s, token_id len: 57, device: cuda:0
get time: 0.00012131 s, token_id len: 57, device: cuda:0
get time: 0.00011721 s, token_id len: 60, device: cuda:0
get time: 0.00011634 s, token_id len: 60, device: cuda:0
get time: 0.00011660 s, token_id len: 58, device: cuda:0
get time: 0.00011654 s, token_id len: 58, device: cuda:0
get time: 0.00012121 s, token_id len: 60, device: cuda:0
get time: 0.00012416 s, token_id len: 60, device: cuda:0
get time: 0.00011717 s, token_id len: 25, device: cuda:0
get time: 0.00011694 s, token_id len: 25, device: cuda:0
get time: 0.00013945 s, token_id len: 23, device: cuda:0
get time: 0.00012801 s, token_id len: 23, device: cuda:0
get time: 0.00012020 s, token_id len: 30, device: cuda:0
get time: 0.00011895 s, token_id len: 30, device: cuda:0
get time: 0.00011743 s, token_id len: 41, device: cuda:0
get time: 0.00011807 s, token_id len: 41, device: cuda:0
get time: 0.00011539 s, token_id len: 39, device: cuda:0
get time: 0.00012609 s, token_id len: 39, device: cuda:0
get time: 0.00011804 s, token_id len: 41, device: cuda:0
get time: 0.00011740 s, token_id len: 41, device: cuda:0
get time: 0.00011733 s, token_id len: 50, device: cuda:0
get time: 0.00011707 s, token_id len: 50, device: cuda:0
get time: 0.00011732 s, token_id len: 22, device: cuda:0
get time: 0.00011706 s, token_id len: 22, device: cuda:0
get time: 0.00013545 s, token_id len: 23, device: cuda:0
get time: 0.00013113 s, token_id len: 23, device: cuda:0
get time: 0.00012073 s, token_id len: 30, device: cuda:0
get time: 0.00011737 s, token_id len: 30, device: cuda:0
get time: 0.00011661 s, token_id len: 39, device: cuda:0
get time: 0.00012149 s, token_id len: 39, device: cuda:0
get time: 0.00011625 s, token_id len: 37, device: cuda:0
get time: 0.00011701 s, token_id len: 37, device: cuda:0
get time: 0.00011666 s, token_id len: 44, device: cuda:0
get time: 0.00011770 s, token_id len: 44, device: cuda:0
get time: 0.00011546 s, token_id len: 50, device: cuda:0
get time: 0.00011645 s, token_id len: 50, device: cuda:0
get time: 0.00011592 s, token_id len: 23, device: cuda:0
get time: 0.00012093 s, token_id len: 23, device: cuda:0
get time: 0.00013995 s, token_id len: 26, device: cuda:0
get time: 0.00012975 s, token_id len: 26, device: cuda:0
get time: 0.00011909 s, token_id len: 33, device: cuda:0
get time: 0.00012329 s, token_id len: 33, device: cuda:0
get time: 0.00012130 s, token_id len: 35, device: cuda:0
get time: 0.00011693 s, token_id len: 35, device: cuda:0
get time: 0.00012122 s, token_id len: 45, device: cuda:0
get time: 0.00012073 s, token_id len: 45, device: cuda:0
get time: 0.00011611 s, token_id len: 40, device: cuda:0
get time: 0.00011656 s, token_id len: 40, device: cuda:0
get time: 0.00011733 s, token_id len: 45, device: cuda:0
get time: 0.00011733 s, token_id len: 45, device: cuda:0
get time: 0.00011783 s, token_id len: 22, device: cuda:0
get time: 0.00012347 s, token_id len: 22, device: cuda:0
get time: 0.00013640 s, token_id len: 28, device: cuda:0
get time: 0.00012645 s, token_id len: 28, device: cuda:0
get time: 0.00012037 s, token_id len: 34, device: cuda:0
get time: 0.00011895 s, token_id len: 34, device: cuda:0
get time: 0.00011607 s, token_id len: 35, device: cuda:0
get time: 0.00012298 s, token_id len: 35, device: cuda:0
get time: 0.00012146 s, token_id len: 41, device: cuda:0
get time: 0.00013132 s, token_id len: 41, device: cuda:0
get time: 0.00012094 s, token_id len: 44, device: cuda:0
get time: 0.00011815 s, token_id len: 44, device: cuda:0
get time: 0.00011728 s, token_id len: 42, device: cuda:0
get time: 0.00011602 s, token_id len: 42, device: cuda:0
get time: 0.00012020 s, token_id len: 22, device: cuda:0
get time: 0.00011613 s, token_id len: 22, device: cuda:0
get time: 0.00013572 s, token_id len: 5, device: cuda:0
get time: 0.00012789 s, token_id len: 5, device: cuda:0
get time: 0.00011981 s, token_id len: 19, device: cuda:0
get time: 0.00012244 s, token_id len: 19, device: cuda:0
get time: 0.00011849 s, token_id len: 15, device: cuda:0
get time: 0.00012063 s, token_id len: 15, device: cuda:0
get time: 0.00013591 s, token_id len: 15, device: cuda:0
get time: 0.00014075 s, token_id len: 15, device: cuda:0
get time: 0.00012327 s, token_id len: 11, device: cuda:0
get time: 0.00011857 s, token_id len: 11, device: cuda:0
get time: 0.00011788 s, token_id len: 16, device: cuda:0
get time: 0.00011744 s, token_id len: 16, device: cuda:0
get time: 0.00011826 s, token_id len: 11, device: cuda:0
get time: 0.00011693 s, token_id len: 11, device: cuda:0
get time: 0.00011566 s, token_id len: 9, device: cuda:0
get time: 0.00011709 s, token_id len: 9, device: cuda:0
get time: 0.00011782 s, token_id len: 13, device: cuda:0
get time: 0.00011686 s, token_id len: 13, device: cuda:0
get time: 0.00011505 s, token_id len: 4, device: cuda:0
get time: 0.00011519 s, token_id len: 4, device: cuda:0
get time: 0.00013999 s, token_id len: 56, device: cuda:0
get time: 0.00012767 s, token_id len: 56, device: cuda:0
get time: 0.00011880 s, token_id len: 57, device: cuda:0
get time: 0.00012241 s, token_id len: 57, device: cuda:0
get time: 0.00011771 s, token_id len: 59, device: cuda:0
get time: 0.00011754 s, token_id len: 59, device: cuda:0
get time: 0.00012078 s, token_id len: 62, device: cuda:0
get time: 0.00011805 s, token_id len: 62, device: cuda:0
get time: 0.00011695 s, token_id len: 59, device: cuda:0
get time: 0.00011607 s, token_id len: 59, device: cuda:0
get time: 0.00011992 s, token_id len: 54, device: cuda:0
get time: 0.00011890 s, token_id len: 54, device: cuda:0
get time: 0.00011982 s, token_id len: 22, device: cuda:0
get time: 0.00011667 s, token_id len: 22, device: cuda:0
get time: 0.00013349 s, token_id len: 6, device: cuda:0
get time: 0.00012416 s, token_id len: 6, device: cuda:0
get time: 0.00012140 s, token_id len: 5, device: cuda:0
get time: 0.00011618 s, token_id len: 5, device: cuda:0
get time: 0.00011585 s, token_id len: 6, device: cuda:0
get time: 0.00011580 s, token_id len: 6, device: cuda:0
get time: 0.00011543 s, token_id len: 9, device: cuda:0
get time: 0.00011852 s, token_id len: 9, device: cuda:0
get time: 0.00011623 s, token_id len: 5, device: cuda:0
get time: 0.00014246 s, token_id len: 5, device: cuda:0
get time: 0.00012140 s, token_id len: 9, device: cuda:0
get time: 0.00011958 s, token_id len: 9, device: cuda:0
get time: 0.00011475 s, token_id len: 8, device: cuda:0
get time: 0.00011318 s, token_id len: 8, device: cuda:0
get time: 0.00013245 s, token_id len: 15, device: cuda:0
get time: 0.00012508 s, token_id len: 15, device: cuda:0
get time: 0.00011785 s, token_id len: 12, device: cuda:0
get time: 0.00011505 s, token_id len: 12, device: cuda:0
get time: 0.00011403 s, token_id len: 14, device: cuda:0
get time: 0.00011474 s, token_id len: 14, device: cuda:0
get time: 0.00011404 s, token_id len: 16, device: cuda:0
get time: 0.00011847 s, token_id len: 16, device: cuda:0
get time: 0.00011410 s, token_id len: 13, device: cuda:0
get time: 0.00011378 s, token_id len: 13, device: cuda:0
get time: 0.00011208 s, token_id len: 10, device: cuda:0
get time: 0.00011262 s, token_id len: 10, device: cuda:0
get time: 0.00011421 s, token_id len: 6, device: cuda:0
get time: 0.00012201 s, token_id len: 6, device: cuda:0
get time: 0.00013764 s, token_id len: 15, device: cuda:0
get time: 0.00012847 s, token_id len: 15, device: cuda:0
get time: 0.00011812 s, token_id len: 17, device: cuda:0
get time: 0.00011685 s, token_id len: 17, device: cuda:0
get time: 0.00012152 s, token_id len: 9, device: cuda:0
get time: 0.00011550 s, token_id len: 9, device: cuda:0
get time: 0.00011569 s, token_id len: 17, device: cuda:0
get time: 0.00011556 s, token_id len: 17, device: cuda:0
get time: 0.00011331 s, token_id len: 8, device: cuda:0
get time: 0.00011292 s, token_id len: 8, device: cuda:0
get time: 0.00011378 s, token_id len: 16, device: cuda:0
get time: 0.00011337 s, token_id len: 16, device: cuda:0
get time: 0.00011322 s, token_id len: 8, device: cuda:0
get time: 0.00011479 s, token_id len: 8, device: cuda:0
get time: 0.00013409 s, token_id len: 56, device: cuda:0
get time: 0.00013225 s, token_id len: 56, device: cuda:0
get time: 0.00012150 s, token_id len: 60, device: cuda:0
get time: 0.00011855 s, token_id len: 60, device: cuda:0
get time: 0.00011611 s, token_id len: 62, device: cuda:0
get time: 0.00012177 s, token_id len: 62, device: cuda:0
get time: 0.00011561 s, token_id len: 55, device: cuda:0
get time: 0.00011602 s, token_id len: 55, device: cuda:0
get time: 0.00011641 s, token_id len: 55, device: cuda:0
get time: 0.00011548 s, token_id len: 55, device: cuda:0
get time: 0.00011613 s, token_id len: 59, device: cuda:0
get time: 0.00011550 s, token_id len: 59, device: cuda:0
get time: 0.00011712 s, token_id len: 22, device: cuda:0
get time: 0.00011573 s, token_id len: 22, device: cuda:0
get time: 0.00013313 s, token_id len: 4, device: cuda:0
get time: 0.00012388 s, token_id len: 4, device: cuda:0
get time: 0.00011772 s, token_id len: 4, device: cuda:0
get time: 0.00011737 s, token_id len: 4, device: cuda:0
get time: 0.00012791 s, token_id len: 3, device: cuda:0
get time: 0.00011923 s, token_id len: 3, device: cuda:0
get time: 0.00011656 s, token_id len: 6, device: cuda:0
