get  key  time: 0.00125748 s, token_id len: 33, device: cpu
get value time: 0.00100645 s, token_id len: 33, device: cpu
get  key  time: 0.00118324 s, token_id len: 17, device: cpu
get value time: 0.00095002 s, token_id len: 17, device: cpu
get  key  time: 0.00037451 s, token_id len: 20, device: cpu
get value time: 0.00025395 s, token_id len: 20, device: cpu
get  key  time: 0.00139723 s, token_id len: 10, device: cpu
get value time: 0.00130148 s, token_id len: 10, device: cpu
get  key  time: 0.00176985 s, token_id len: 18, device: cpu
get value time: 0.00175827 s, token_id len: 18, device: cpu
get  key  time: 0.00026708 s, token_id len: 2, device: cpu
get value time: 0.00020071 s, token_id len: 2, device: cpu
get  key  time: 0.00015762 s, token_id len: 10, device: cpu
get value time: 0.00013347 s, token_id len: 10, device: cpu
get  key  time: 0.00310954 s, token_id len: 20, device: cpu
get value time: 0.00291445 s, token_id len: 20, device: cpu
get  key  time: 0.00160517 s, token_id len: 28, device: cpu
get value time: 0.00161073 s, token_id len: 28, device: cpu
get  key  time: 0.00020133 s, token_id len: 2, device: cpu
get value time: 0.00019562 s, token_id len: 2, device: cpu
get  key  time: 0.00014452 s, token_id len: 10, device: cpu
get value time: 0.00012839 s, token_id len: 10, device: cpu
get  key  time: 0.00165070 s, token_id len: 26, device: cpu
get value time: 0.00193038 s, token_id len: 26, device: cpu
get  key  time: 0.00169319 s, token_id len: 22, device: cpu
get value time: 0.00166838 s, token_id len: 22, device: cpu
get  key  time: 0.00020176 s, token_id len: 2, device: cpu
get value time: 0.00019872 s, token_id len: 2, device: cpu
get  key  time: 0.00014115 s, token_id len: 10, device: cpu
get value time: 0.00014588 s, token_id len: 10, device: cpu
get  key  time: 0.00173215 s, token_id len: 33, device: cpu
get value time: 0.00226117 s, token_id len: 33, device: cpu
get  key  time: 0.00217833 s, token_id len: 17, device: cpu
get value time: 0.00170541 s, token_id len: 17, device: cpu
get  key  time: 0.00014128 s, token_id len: 10, device: cpu
get value time: 0.00014597 s, token_id len: 10, device: cpu
get  key  time: 0.00158750 s, token_id len: 4, device: cpu
get value time: 0.00142550 s, token_id len: 4, device: cpu
get  key  time: 0.00203244 s, token_id len: 21, device: cpu
get value time: 0.00165405 s, token_id len: 21, device: cpu
get  key  time: 0.00164680 s, token_id len: 14, device: cpu
get value time: 0.00174516 s, token_id len: 14, device: cpu
get  key  time: 0.00019343 s, token_id len: 1, device: cpu
get value time: 0.00019739 s, token_id len: 1, device: cpu
get  key  time: 0.00019202 s, token_id len: 10, device: cpu
get value time: 0.00014338 s, token_id len: 10, device: cpu
get  key  time: 0.00232954 s, token_id len: 24, device: cpu
get value time: 0.00168144 s, token_id len: 24, device: cpu
get  key  time: 0.00158555 s, token_id len: 26, device: cpu
get value time: 0.00176630 s, token_id len: 26, device: cpu
get  key  time: 0.00015625 s, token_id len: 10, device: cpu
get value time: 0.00014107 s, token_id len: 10, device: cpu
