get  key  time: 0.00184845 s, token_id len: 50, device: cpu
get value time: 0.00139217 s, token_id len: 50, device: cpu
get  key  time: 0.00027050 s, token_id len: 20, device: cpu
get value time: 0.00023104 s, token_id len: 20, device: cpu
get  key  time: 0.00156880 s, token_id len: 30, device: cpu
get value time: 0.00492439 s, token_id len: 30, device: cpu
get  key  time: 0.00020217 s, token_id len: 20, device: cpu
get value time: 0.00018952 s, token_id len: 20, device: cpu
get  key  time: 0.00180899 s, token_id len: 50, device: cpu
get value time: 0.00090787 s, token_id len: 50, device: cpu
get  key  time: 0.00016589 s, token_id len: 20, device: cpu
get value time: 0.00016355 s, token_id len: 20, device: cpu
get  key  time: 0.00239692 s, token_id len: 50, device: cpu
get value time: 0.00321001 s, token_id len: 50, device: cpu
get  key  time: 0.00018047 s, token_id len: 20, device: cpu
get value time: 0.00016686 s, token_id len: 20, device: cpu
get  key  time: 0.00195651 s, token_id len: 50, device: cpu
get value time: 0.00089924 s, token_id len: 50, device: cpu
get  key  time: 0.00017367 s, token_id len: 20, device: cpu
get value time: 0.00016190 s, token_id len: 20, device: cpu
get  key  time: 0.00325318 s, token_id len: 36, device: cpu
get value time: 0.00168705 s, token_id len: 36, device: cpu
get  key  time: 0.00018058 s, token_id len: 20, device: cpu
get value time: 0.00017220 s, token_id len: 20, device: cpu
get  key  time: 0.00171974 s, token_id len: 50, device: cpu
get value time: 0.00239514 s, token_id len: 50, device: cpu
get  key  time: 0.00018960 s, token_id len: 20, device: cpu
get value time: 0.00016368 s, token_id len: 20, device: cpu
get  key  time: 0.00291920 s, token_id len: 50, device: cpu
get value time: 0.00250827 s, token_id len: 50, device: cpu
get  key  time: 0.00017682 s, token_id len: 20, device: cpu
get value time: 0.00016733 s, token_id len: 20, device: cpu
get  key  time: 0.00191903 s, token_id len: 50, device: cpu
get value time: 0.00354702 s, token_id len: 50, device: cpu
get  key  time: 0.00017058 s, token_id len: 20, device: cpu
get value time: 0.00018227 s, token_id len: 20, device: cpu
get  key  time: 0.00417220 s, token_id len: 50, device: cpu
get value time: 0.00237491 s, token_id len: 50, device: cpu
get  key  time: 0.00017748 s, token_id len: 20, device: cpu
get value time: 0.00016189 s, token_id len: 20, device: cpu
get  key  time: 0.00111246 s, token_id len: 50, device: cpu
get value time: 0.00162196 s, token_id len: 50, device: cpu
get  key  time: 0.00017334 s, token_id len: 20, device: cpu
get value time: 0.00016069 s, token_id len: 20, device: cpu
get  key  time: 0.00269221 s, token_id len: 50, device: cpu
get value time: 0.00748763 s, token_id len: 50, device: cpu
get  key  time: 0.00016819 s, token_id len: 20, device: cpu
get value time: 0.00015002 s, token_id len: 20, device: cpu
get  key  time: 0.00168358 s, token_id len: 50, device: cpu
get value time: 0.00170775 s, token_id len: 50, device: cpu
get  key  time: 0.00017529 s, token_id len: 20, device: cpu
get value time: 0.00016854 s, token_id len: 20, device: cpu
get  key  time: 0.00260336 s, token_id len: 50, device: cpu
get value time: 0.00331446 s, token_id len: 50, device: cpu
get  key  time: 0.00017940 s, token_id len: 20, device: cpu
get value time: 0.00016371 s, token_id len: 20, device: cpu
get  key  time: 0.00168671 s, token_id len: 50, device: cpu
get value time: 0.00168698 s, token_id len: 50, device: cpu
get  key  time: 0.00017529 s, token_id len: 20, device: cpu
get value time: 0.00016696 s, token_id len: 20, device: cpu
get  key  time: 0.00100300 s, token_id len: 39, device: cpu
get value time: 0.00378064 s, token_id len: 39, device: cpu
get  key  time: 0.00017039 s, token_id len: 20, device: cpu
get value time: 0.00016203 s, token_id len: 20, device: cpu
get  key  time: 0.00342728 s, token_id len: 50, device: cpu
get value time: 0.00247203 s, token_id len: 50, device: cpu
get  key  time: 0.00017379 s, token_id len: 20, device: cpu
get value time: 0.00016407 s, token_id len: 20, device: cpu
get  key  time: 0.00324178 s, token_id len: 50, device: cpu
get value time: 0.00326756 s, token_id len: 50, device: cpu
get  key  time: 0.00018262 s, token_id len: 20, device: cpu
get value time: 0.00016299 s, token_id len: 20, device: cpu
get  key  time: 0.00357844 s, token_id len: 50, device: cpu
get value time: 0.00214678 s, token_id len: 50, device: cpu
get  key  time: 0.00017086 s, token_id len: 20, device: cpu
get value time: 0.00016311 s, token_id len: 20, device: cpu
get  key  time: 0.00087903 s, token_id len: 50, device: cpu
get value time: 0.00212454 s, token_id len: 50, device: cpu
get  key  time: 0.00017322 s, token_id len: 20, device: cpu
get value time: 0.00016294 s, token_id len: 20, device: cpu
get  key  time: 0.00222093 s, token_id len: 50, device: cpu
get value time: 0.00257296 s, token_id len: 50, device: cpu
get  key  time: 0.00018092 s, token_id len: 20, device: cpu
get value time: 0.00016314 s, token_id len: 20, device: cpu
get  key  time: 0.00214001 s, token_id len: 50, device: cpu
get value time: 0.00214594 s, token_id len: 50, device: cpu
