get  key  time: 0.00095749 s, token_id len: 33, device: cpu
get value time: 0.00075151 s, token_id len: 33, device: cpu
get  key  time: 0.00071630 s, token_id len: 17, device: cpu
get value time: 0.00070334 s, token_id len: 17, device: cpu
get  key  time: 0.00042369 s, token_id len: 20, device: cpu
get value time: 0.00019589 s, token_id len: 20, device: cpu
get  key  time: 0.00064107 s, token_id len: 10, device: cpu
get value time: 0.00073322 s, token_id len: 10, device: cpu
get  key  time: 0.00077674 s, token_id len: 18, device: cpu
get value time: 0.00077421 s, token_id len: 18, device: cpu
get  key  time: 0.00022869 s, token_id len: 2, device: cpu
get value time: 0.00020477 s, token_id len: 2, device: cpu
get  key  time: 0.00015854 s, token_id len: 10, device: cpu
get value time: 0.00014747 s, token_id len: 10, device: cpu
get  key  time: 0.00100798 s, token_id len: 20, device: cpu
get value time: 0.00077292 s, token_id len: 20, device: cpu
get  key  time: 0.00075879 s, token_id len: 28, device: cpu
get value time: 0.00057324 s, token_id len: 28, device: cpu
get  key  time: 0.00019423 s, token_id len: 2, device: cpu
get value time: 0.00018121 s, token_id len: 2, device: cpu
get  key  time: 0.00013890 s, token_id len: 10, device: cpu
get value time: 0.00012668 s, token_id len: 10, device: cpu
get  key  time: 0.00068407 s, token_id len: 26, device: cpu
get value time: 0.00091325 s, token_id len: 26, device: cpu
get  key  time: 0.00054486 s, token_id len: 22, device: cpu
get value time: 0.00054088 s, token_id len: 22, device: cpu
get  key  time: 0.00019029 s, token_id len: 2, device: cpu
get value time: 0.00019163 s, token_id len: 2, device: cpu
get  key  time: 0.00013782 s, token_id len: 10, device: cpu
get value time: 0.00013002 s, token_id len: 10, device: cpu
get  key  time: 0.00057495 s, token_id len: 33, device: cpu
get value time: 0.00069278 s, token_id len: 33, device: cpu
get  key  time: 0.00067219 s, token_id len: 17, device: cpu
get value time: 0.00064502 s, token_id len: 17, device: cpu
get  key  time: 0.00015228 s, token_id len: 10, device: cpu
get value time: 0.00012991 s, token_id len: 10, device: cpu
get  key  time: 0.00054613 s, token_id len: 4, device: cpu
get value time: 0.00051870 s, token_id len: 4, device: cpu
get  key  time: 0.00067067 s, token_id len: 21, device: cpu
get value time: 0.00070257 s, token_id len: 21, device: cpu
get  key  time: 0.00066193 s, token_id len: 14, device: cpu
get value time: 0.00077648 s, token_id len: 14, device: cpu
get  key  time: 0.00019065 s, token_id len: 1, device: cpu
get value time: 0.00019256 s, token_id len: 1, device: cpu
get  key  time: 0.00014450 s, token_id len: 10, device: cpu
get value time: 0.00012950 s, token_id len: 10, device: cpu
get  key  time: 0.00079676 s, token_id len: 24, device: cpu
get value time: 0.00061834 s, token_id len: 24, device: cpu
get  key  time: 0.00065854 s, token_id len: 26, device: cpu
get value time: 0.00053037 s, token_id len: 26, device: cpu
get  key  time: 0.00013498 s, token_id len: 10, device: cpu
get value time: 0.00012634 s, token_id len: 10, device: cpu
get  key  time: 0.00068093 s, token_id len: 24, device: cpu
get value time: 0.00066859 s, token_id len: 24, device: cpu
get  key  time: 0.00065758 s, token_id len: 26, device: cpu
get value time: 0.00067030 s, token_id len: 26, device: cpu
get  key  time: 0.00013187 s, token_id len: 10, device: cpu
get value time: 0.00012639 s, token_id len: 10, device: cpu
get  key  time: 0.00070344 s, token_id len: 23, device: cpu
get value time: 0.00068197 s, token_id len: 23, device: cpu
get  key  time: 0.00066817 s, token_id len: 27, device: cpu
get value time: 0.00065216 s, token_id len: 27, device: cpu
get  key  time: 0.00014300 s, token_id len: 10, device: cpu
get value time: 0.00012752 s, token_id len: 10, device: cpu
get  key  time: 0.00069606 s, token_id len: 29, device: cpu
get value time: 0.00071550 s, token_id len: 29, device: cpu
get  key  time: 0.00070025 s, token_id len: 21, device: cpu
get value time: 0.00067823 s, token_id len: 21, device: cpu
get  key  time: 0.00013166 s, token_id len: 10, device: cpu
get value time: 0.00013042 s, token_id len: 10, device: cpu
get  key  time: 0.00059298 s, token_id len: 23, device: cpu
get value time: 0.00069757 s, token_id len: 23, device: cpu
get  key  time: 0.00074895 s, token_id len: 26, device: cpu
get value time: 0.00060489 s, token_id len: 26, device: cpu
get  key  time: 0.00018742 s, token_id len: 1, device: cpu
get value time: 0.00019680 s, token_id len: 1, device: cpu
get  key  time: 0.00013795 s, token_id len: 10, device: cpu
get value time: 0.00012813 s, token_id len: 10, device: cpu
get  key  time: 0.00071731 s, token_id len: 26, device: cpu
get value time: 0.00070191 s, token_id len: 26, device: cpu
get  key  time: 0.00073751 s, token_id len: 24, device: cpu
get value time: 0.00068520 s, token_id len: 24, device: cpu
get  key  time: 0.00013691 s, token_id len: 10, device: cpu
get value time: 0.00012728 s, token_id len: 10, device: cpu
get  key  time: 0.00056034 s, token_id len: 28, device: cpu
get value time: 0.00066188 s, token_id len: 28, device: cpu
get  key  time: 0.00067299 s, token_id len: 21, device: cpu
get value time: 0.00068015 s, token_id len: 21, device: cpu
get  key  time: 0.00018671 s, token_id len: 1, device: cpu
get value time: 0.00020142 s, token_id len: 1, device: cpu
get  key  time: 0.00013569 s, token_id len: 10, device: cpu
get value time: 0.00012826 s, token_id len: 10, device: cpu
get  key  time: 0.00056235 s, token_id len: 26, device: cpu
get value time: 0.00078724 s, token_id len: 26, device: cpu
get  key  time: 0.00067960 s, token_id len: 23, device: cpu
get value time: 0.00077597 s, token_id len: 23, device: cpu
get  key  time: 0.00019157 s, token_id len: 1, device: cpu
get value time: 0.00018338 s, token_id len: 1, device: cpu
get  key  time: 0.00013751 s, token_id len: 10, device: cpu
get value time: 0.00012663 s, token_id len: 10, device: cpu
get  key  time: 0.00067239 s, token_id len: 24, device: cpu
get value time: 0.00054266 s, token_id len: 24, device: cpu
get  key  time: 0.00084692 s, token_id len: 25, device: cpu
get value time: 0.00066525 s, token_id len: 25, device: cpu
get  key  time: 0.00018654 s, token_id len: 1, device: cpu
get value time: 0.00020463 s, token_id len: 1, device: cpu
get  key  time: 0.00013434 s, token_id len: 10, device: cpu
get value time: 0.00012315 s, token_id len: 10, device: cpu
get  key  time: 0.00068433 s, token_id len: 1, device: cpu
get value time: 0.00054178 s, token_id len: 1, device: cpu
get  key  time: 0.00079517 s, token_id len: 21, device: cpu
get value time: 0.00190904 s, token_id len: 21, device: cpu
get  key  time: 0.00081083 s, token_id len: 18, device: cpu
get value time: 0.00065974 s, token_id len: 18, device: cpu
get  key  time: 0.00013997 s, token_id len: 10, device: cpu
get value time: 0.00012840 s, token_id len: 10, device: cpu
get  key  time: 0.00069669 s, token_id len: 27, device: cpu
get value time: 0.00069202 s, token_id len: 27, device: cpu
get  key  time: 0.00072000 s, token_id len: 23, device: cpu
get value time: 0.00069125 s, token_id len: 23, device: cpu
get  key  time: 0.00013319 s, token_id len: 10, device: cpu
get value time: 0.00012272 s, token_id len: 10, device: cpu
get  key  time: 0.00069001 s, token_id len: 21, device: cpu
get value time: 0.00054714 s, token_id len: 21, device: cpu
get  key  time: 0.00088611 s, token_id len: 27, device: cpu
get value time: 0.00068387 s, token_id len: 27, device: cpu
get  key  time: 0.00018687 s, token_id len: 2, device: cpu
get value time: 0.00018047 s, token_id len: 2, device: cpu
get  key  time: 0.00013808 s, token_id len: 10, device: cpu
get value time: 0.00013273 s, token_id len: 10, device: cpu
get  key  time: 0.00067898 s, token_id len: 30, device: cpu
get value time: 0.00069461 s, token_id len: 30, device: cpu
get  key  time: 0.00066119 s, token_id len: 20, device: cpu
get value time: 0.00069186 s, token_id len: 20, device: cpu
get  key  time: 0.00013414 s, token_id len: 10, device: cpu
get value time: 0.00012396 s, token_id len: 10, device: cpu
get  key  time: 0.00055978 s, token_id len: 25, device: cpu
get value time: 0.00065114 s, token_id len: 25, device: cpu
get  key  time: 0.00054309 s, token_id len: 25, device: cpu
get value time: 0.00070426 s, token_id len: 25, device: cpu
get  key  time: 0.00013369 s, token_id len: 10, device: cpu
get value time: 0.00013295 s, token_id len: 10, device: cpu
get  key  time: 0.00071965 s, token_id len: 28, device: cpu
get value time: 0.00067349 s, token_id len: 28, device: cpu
get  key  time: 0.00067462 s, token_id len: 22, device: cpu
get value time: 0.00053212 s, token_id len: 22, device: cpu
get  key  time: 0.00013924 s, token_id len: 10, device: cpu
get value time: 0.00012928 s, token_id len: 10, device: cpu
get  key  time: 0.00077955 s, token_id len: 28, device: cpu
get value time: 0.00068237 s, token_id len: 28, device: cpu
get  key  time: 0.00067169 s, token_id len: 21, device: cpu
get value time: 0.00064580 s, token_id len: 21, device: cpu
get  key  time: 0.00018619 s, token_id len: 1, device: cpu
get value time: 0.00018171 s, token_id len: 1, device: cpu
get  key  time: 0.00012968 s, token_id len: 10, device: cpu
get value time: 0.00012390 s, token_id len: 10, device: cpu
get  key  time: 0.00055750 s, token_id len: 32, device: cpu
get value time: 0.00069007 s, token_id len: 32, device: cpu
get  key  time: 0.00071590 s, token_id len: 18, device: cpu
get value time: 0.00068533 s, token_id len: 18, device: cpu
get  key  time: 0.00013942 s, token_id len: 10, device: cpu
get value time: 0.00012701 s, token_id len: 10, device: cpu
get  key  time: 0.00056481 s, token_id len: 27, device: cpu
get value time: 0.00069074 s, token_id len: 27, device: cpu
get  key  time: 0.00064078 s, token_id len: 23, device: cpu
get value time: 0.00072286 s, token_id len: 23, device: cpu
get  key  time: 0.00014111 s, token_id len: 10, device: cpu
get value time: 0.00012823 s, token_id len: 10, device: cpu
get  key  time: 0.00082639 s, token_id len: 31, device: cpu
get value time: 0.00069509 s, token_id len: 31, device: cpu
get  key  time: 0.00078279 s, token_id len: 19, device: cpu
get value time: 0.00060856 s, token_id len: 19, device: cpu
get  key  time: 0.00013527 s, token_id len: 10, device: cpu
get value time: 0.00012499 s, token_id len: 10, device: cpu
get  key  time: 0.00076166 s, token_id len: 26, device: cpu
get value time: 0.00056487 s, token_id len: 26, device: cpu
get  key  time: 0.00068766 s, token_id len: 24, device: cpu
get value time: 0.00068656 s, token_id len: 24, device: cpu
get  key  time: 0.00013342 s, token_id len: 10, device: cpu
get value time: 0.00012625 s, token_id len: 10, device: cpu
get  key  time: 0.00058167 s, token_id len: 25, device: cpu
get value time: 0.00076444 s, token_id len: 25, device: cpu
get  key  time: 0.00055721 s, token_id len: 25, device: cpu
get value time: 0.00064631 s, token_id len: 25, device: cpu
get  key  time: 0.00014455 s, token_id len: 10, device: cpu
get value time: 0.00012975 s, token_id len: 10, device: cpu
get  key  time: 0.00071196 s, token_id len: 20, device: cpu
get value time: 0.00069065 s, token_id len: 20, device: cpu
get  key  time: 0.00056841 s, token_id len: 30, device: cpu
get value time: 0.00075730 s, token_id len: 30, device: cpu
get  key  time: 0.00013325 s, token_id len: 10, device: cpu
get value time: 0.00012569 s, token_id len: 10, device: cpu
get  key  time: 0.00079924 s, token_id len: 27, device: cpu
get value time: 0.00068903 s, token_id len: 27, device: cpu
get  key  time: 0.00070533 s, token_id len: 23, device: cpu
get value time: 0.00064627 s, token_id len: 23, device: cpu
get  key  time: 0.00013637 s, token_id len: 10, device: cpu
get value time: 0.00012901 s, token_id len: 10, device: cpu
get  key  time: 0.00080452 s, token_id len: 28, device: cpu
get value time: 0.00069869 s, token_id len: 28, device: cpu
get  key  time: 0.00067774 s, token_id len: 22, device: cpu
get value time: 0.00069103 s, token_id len: 22, device: cpu
get  key  time: 0.00014239 s, token_id len: 10, device: cpu
get value time: 0.00012552 s, token_id len: 10, device: cpu
get  key  time: 0.00055314 s, token_id len: 24, device: cpu
get value time: 0.00068175 s, token_id len: 24, device: cpu
get  key  time: 0.00066165 s, token_id len: 24, device: cpu
get value time: 0.00081394 s, token_id len: 24, device: cpu
get  key  time: 0.00018182 s, token_id len: 2, device: cpu
get value time: 0.00017966 s, token_id len: 2, device: cpu
get  key  time: 0.00013594 s, token_id len: 10, device: cpu
get value time: 0.00012621 s, token_id len: 10, device: cpu
get  key  time: 0.00059581 s, token_id len: 22, device: cpu
get value time: 0.00072671 s, token_id len: 22, device: cpu
get  key  time: 0.00071338 s, token_id len: 18, device: cpu
get value time: 0.00070340 s, token_id len: 18, device: cpu
get  key  time: 0.00018657 s, token_id len: 1, device: cpu
get value time: 0.00017632 s, token_id len: 1, device: cpu
get  key  time: 0.00172273 s, token_id len: 20, device: disk
get value time: 0.00127592 s, token_id len: 20, device: disk
get  key  time: 0.00168408 s, token_id len: 16, device: disk
get value time: 0.00121051 s, token_id len: 16, device: disk
get  key  time: 0.00084822 s, token_id len: 17, device: disk
get value time: 0.00063999 s, token_id len: 17, device: disk
get  key  time: 0.00204258 s, token_id len: 20, device: disk
get value time: 0.00098024 s, token_id len: 20, device: disk
get  key  time: 0.00092731 s, token_id len: 1, device: disk
get value time: 0.00093503 s, token_id len: 1, device: disk
get  key  time: 0.00168015 s, token_id len: 15, device: disk
get value time: 0.00155276 s, token_id len: 15, device: disk
get  key  time: 0.00080991 s, token_id len: 17, device: disk
get value time: 0.00089548 s, token_id len: 17, device: disk
get  key  time: 0.00087363 s, token_id len: 10, device: disk
get value time: 0.00083405 s, token_id len: 10, device: disk
get  key  time: 0.00144253 s, token_id len: 20, device: disk
get value time: 0.00114587 s, token_id len: 20, device: disk
get  key  time: 0.00107114 s, token_id len: 14, device: disk
get value time: 0.00168188 s, token_id len: 14, device: disk
get  key  time: 0.00057944 s, token_id len: 9, device: disk
get value time: 0.00085986 s, token_id len: 9, device: disk
get  key  time: 0.00091975 s, token_id len: 10, device: disk
get value time: 0.00092058 s, token_id len: 10, device: disk
get  key  time: 0.00160519 s, token_id len: 10, device: disk
get value time: 0.00126437 s, token_id len: 10, device: disk
get  key  time: 0.00167084 s, token_id len: 16, device: disk
get value time: 0.00145043 s, token_id len: 16, device: disk
get  key  time: 0.00091153 s, token_id len: 17, device: disk
get value time: 0.00054426 s, token_id len: 17, device: disk
get  key  time: 0.00093553 s, token_id len: 10, device: disk
get value time: 0.00092170 s, token_id len: 10, device: disk
get  key  time: 0.00131830 s, token_id len: 29, device: disk
get value time: 0.00126488 s, token_id len: 29, device: disk
get  key  time: 0.00252429 s, token_id len: 8, device: disk
get value time: 0.00166291 s, token_id len: 8, device: disk
get  key  time: 0.00084152 s, token_id len: 6, device: disk
get value time: 0.00076221 s, token_id len: 6, device: disk
get  key  time: 0.00096480 s, token_id len: 10, device: disk
get value time: 0.00091679 s, token_id len: 10, device: disk
get  key  time: 0.00147928 s, token_id len: 16, device: disk
get value time: 0.00145938 s, token_id len: 16, device: disk
get  key  time: 0.00146677 s, token_id len: 16, device: disk
get value time: 0.00127955 s, token_id len: 16, device: disk
get  key  time: 0.00077606 s, token_id len: 11, device: disk
get value time: 0.00083879 s, token_id len: 11, device: disk
get  key  time: 0.00091784 s, token_id len: 10, device: disk
get value time: 0.00097808 s, token_id len: 10, device: disk
get  key  time: 0.00129093 s, token_id len: 10, device: disk
get value time: 0.00150464 s, token_id len: 10, device: disk
