get  key  time: 0.00201131 s, token_id len: 33, device: disk
get value time: 0.00175110 s, token_id len: 33, device: disk
get  key  time: 0.00155934 s, token_id len: 17, device: disk
get value time: 0.00144398 s, token_id len: 17, device: disk
get  key  time: 0.00201068 s, token_id len: 20, device: disk
get value time: 0.00103786 s, token_id len: 20, device: disk
get  key  time: 0.00155029 s, token_id len: 10, device: disk
get value time: 0.00249043 s, token_id len: 10, device: disk
get  key  time: 0.00173704 s, token_id len: 18, device: disk
get value time: 0.00162275 s, token_id len: 18, device: disk
get  key  time: 0.00051076 s, token_id len: 2, device: disk
get value time: 0.00049573 s, token_id len: 2, device: disk
get  key  time: 0.00098021 s, token_id len: 10, device: disk
get value time: 0.00092221 s, token_id len: 10, device: disk
get  key  time: 0.00166247 s, token_id len: 20, device: disk
get value time: 0.00143078 s, token_id len: 20, device: disk
get  key  time: 0.00185711 s, token_id len: 28, device: disk
get value time: 0.00146478 s, token_id len: 28, device: disk
get  key  time: 0.00053646 s, token_id len: 2, device: disk
get value time: 0.00048242 s, token_id len: 2, device: disk
get  key  time: 0.00097959 s, token_id len: 10, device: disk
get value time: 0.00086077 s, token_id len: 10, device: disk
get  key  time: 0.00188997 s, token_id len: 26, device: disk
get value time: 0.00306027 s, token_id len: 26, device: disk
get  key  time: 0.00185989 s, token_id len: 22, device: disk
get value time: 0.00168748 s, token_id len: 22, device: disk
get  key  time: 0.00044023 s, token_id len: 2, device: disk
get value time: 0.00062403 s, token_id len: 2, device: disk
get  key  time: 0.00093915 s, token_id len: 10, device: disk
get value time: 0.00091056 s, token_id len: 10, device: disk
get  key  time: 0.00350961 s, token_id len: 33, device: disk
get value time: 0.00171982 s, token_id len: 33, device: disk
get  key  time: 0.00139789 s, token_id len: 17, device: disk
get value time: 0.00185953 s, token_id len: 17, device: disk
get  key  time: 0.00098083 s, token_id len: 10, device: disk
get value time: 0.00083482 s, token_id len: 10, device: disk
get  key  time: 0.00183924 s, token_id len: 4, device: disk
get value time: 0.00241104 s, token_id len: 4, device: disk
get  key  time: 0.00188127 s, token_id len: 21, device: disk
get value time: 0.00226456 s, token_id len: 21, device: disk
get  key  time: 0.00162272 s, token_id len: 14, device: disk
get value time: 0.00194762 s, token_id len: 14, device: disk
get  key  time: 0.00049320 s, token_id len: 1, device: disk
get value time: 0.00050949 s, token_id len: 1, device: disk
get  key  time: 0.00112721 s, token_id len: 10, device: disk
get value time: 0.00095664 s, token_id len: 10, device: disk
get  key  time: 0.00139210 s, token_id len: 24, device: disk
get value time: 0.00188956 s, token_id len: 24, device: disk
get  key  time: 0.00141970 s, token_id len: 26, device: disk
get value time: 0.00281841 s, token_id len: 26, device: disk
get  key  time: 0.00101225 s, token_id len: 10, device: disk
get value time: 0.00083830 s, token_id len: 10, device: disk
get  key  time: 0.00166882 s, token_id len: 24, device: disk
get value time: 0.00148404 s, token_id len: 24, device: disk
get  key  time: 0.00156408 s, token_id len: 26, device: disk
get value time: 0.00148719 s, token_id len: 26, device: disk
get  key  time: 0.00092928 s, token_id len: 10, device: disk
get value time: 0.00093498 s, token_id len: 10, device: disk
get  key  time: 0.00155947 s, token_id len: 23, device: disk
get value time: 0.00172915 s, token_id len: 23, device: disk
get  key  time: 0.00187145 s, token_id len: 27, device: disk
get value time: 0.00245388 s, token_id len: 27, device: disk
get  key  time: 0.00097336 s, token_id len: 10, device: disk
get value time: 0.00093638 s, token_id len: 10, device: disk
get  key  time: 0.00168610 s, token_id len: 29, device: disk
get value time: 0.00147651 s, token_id len: 29, device: disk
get  key  time: 0.00160409 s, token_id len: 21, device: disk
get value time: 0.00156842 s, token_id len: 21, device: disk
get  key  time: 0.00099226 s, token_id len: 10, device: disk
get value time: 0.00092007 s, token_id len: 10, device: disk
get  key  time: 0.00194860 s, token_id len: 23, device: disk
get value time: 0.00168526 s, token_id len: 23, device: disk
get  key  time: 0.00168378 s, token_id len: 26, device: disk
get value time: 0.00162511 s, token_id len: 26, device: disk
get  key  time: 0.00054438 s, token_id len: 1, device: disk
get value time: 0.00174243 s, token_id len: 1, device: disk
get  key  time: 0.00084366 s, token_id len: 10, device: disk
get value time: 0.00104374 s, token_id len: 10, device: disk
get  key  time: 0.00149834 s, token_id len: 26, device: disk
get value time: 0.00171657 s, token_id len: 26, device: disk
get  key  time: 0.00141074 s, token_id len: 24, device: disk
get value time: 0.00175734 s, token_id len: 24, device: disk
get  key  time: 0.00096999 s, token_id len: 10, device: disk
get value time: 0.00084594 s, token_id len: 10, device: disk
get  key  time: 0.00187501 s, token_id len: 28, device: disk
get value time: 0.00168548 s, token_id len: 28, device: disk
get  key  time: 0.00189125 s, token_id len: 21, device: disk
get value time: 0.00329219 s, token_id len: 21, device: disk
get  key  time: 0.00050441 s, token_id len: 1, device: disk
get value time: 0.00063544 s, token_id len: 1, device: disk
get  key  time: 0.00094279 s, token_id len: 10, device: disk
get value time: 0.00095057 s, token_id len: 10, device: disk
get  key  time: 0.00150333 s, token_id len: 26, device: disk
get value time: 0.00193615 s, token_id len: 26, device: disk
get  key  time: 0.00160333 s, token_id len: 23, device: disk
get value time: 0.00171993 s, token_id len: 23, device: disk
get  key  time: 0.00052381 s, token_id len: 1, device: disk
get value time: 0.00061959 s, token_id len: 1, device: disk
get  key  time: 0.00090488 s, token_id len: 10, device: disk
get value time: 0.00096304 s, token_id len: 10, device: disk
get  key  time: 0.00162761 s, token_id len: 24, device: disk
get value time: 0.00125789 s, token_id len: 24, device: disk
get  key  time: 0.00173204 s, token_id len: 25, device: disk
get value time: 0.00306160 s, token_id len: 25, device: disk
get  key  time: 0.00066308 s, token_id len: 1, device: disk
get value time: 0.00051038 s, token_id len: 1, device: disk
get  key  time: 0.00092754 s, token_id len: 10, device: disk
get value time: 0.00091781 s, token_id len: 10, device: disk
get  key  time: 0.00150897 s, token_id len: 1, device: disk
get value time: 0.00182362 s, token_id len: 1, device: disk
get  key  time: 0.00171940 s, token_id len: 21, device: disk
get value time: 0.00177870 s, token_id len: 21, device: disk
get  key  time: 0.00186631 s, token_id len: 18, device: disk
get value time: 0.00182272 s, token_id len: 18, device: disk
get  key  time: 0.00099503 s, token_id len: 10, device: disk
get value time: 0.00106620 s, token_id len: 10, device: disk
get  key  time: 0.00178380 s, token_id len: 27, device: disk
get value time: 0.00246049 s, token_id len: 27, device: disk
get  key  time: 0.00131183 s, token_id len: 23, device: disk
get value time: 0.00307999 s, token_id len: 23, device: disk
get  key  time: 0.00097220 s, token_id len: 10, device: disk
get value time: 0.00093660 s, token_id len: 10, device: disk
get  key  time: 0.00181897 s, token_id len: 21, device: disk
get value time: 0.00183158 s, token_id len: 21, device: disk
get  key  time: 0.00170624 s, token_id len: 27, device: disk
get value time: 0.00173451 s, token_id len: 27, device: disk
get  key  time: 0.00049359 s, token_id len: 2, device: disk
get value time: 0.00048202 s, token_id len: 2, device: disk
get  key  time: 0.00086825 s, token_id len: 10, device: disk
get value time: 0.00432209 s, token_id len: 10, device: disk
get  key  time: 0.00149290 s, token_id len: 30, device: disk
get value time: 0.00192965 s, token_id len: 30, device: disk
get  key  time: 0.00276589 s, token_id len: 20, device: disk
get value time: 0.00175793 s, token_id len: 20, device: disk
get  key  time: 0.00097671 s, token_id len: 10, device: disk
get value time: 0.00100272 s, token_id len: 10, device: disk
get  key  time: 0.00193420 s, token_id len: 25, device: disk
get value time: 0.00138011 s, token_id len: 25, device: disk
get  key  time: 0.00172017 s, token_id len: 25, device: disk
get value time: 0.00122044 s, token_id len: 25, device: disk
get  key  time: 0.00085696 s, token_id len: 10, device: disk
get value time: 0.00099715 s, token_id len: 10, device: disk
get  key  time: 0.00217264 s, token_id len: 28, device: disk
get value time: 0.00191972 s, token_id len: 28, device: disk
get  key  time: 0.00265330 s, token_id len: 22, device: disk
get value time: 0.00186136 s, token_id len: 22, device: disk
get  key  time: 0.00091770 s, token_id len: 10, device: disk
get value time: 0.00068555 s, token_id len: 10, device: disk
get  key  time: 0.00207253 s, token_id len: 28, device: disk
get value time: 0.00123844 s, token_id len: 28, device: disk
get  key  time: 0.00163755 s, token_id len: 21, device: disk
get value time: 0.00132213 s, token_id len: 21, device: disk
get  key  time: 0.00048084 s, token_id len: 1, device: disk
get value time: 0.00042742 s, token_id len: 1, device: disk
get  key  time: 0.00092822 s, token_id len: 10, device: disk
get value time: 0.00094461 s, token_id len: 10, device: disk
get  key  time: 0.00183209 s, token_id len: 32, device: disk
get value time: 0.00187695 s, token_id len: 32, device: disk
get  key  time: 0.00325459 s, token_id len: 18, device: disk
get value time: 0.00195944 s, token_id len: 18, device: disk
get  key  time: 0.00091791 s, token_id len: 10, device: disk
get value time: 0.00082188 s, token_id len: 10, device: disk
get  key  time: 0.00146193 s, token_id len: 27, device: disk
get value time: 0.00161921 s, token_id len: 27, device: disk
get  key  time: 0.00132365 s, token_id len: 23, device: disk
get value time: 0.00190327 s, token_id len: 23, device: disk
get  key  time: 0.00097728 s, token_id len: 10, device: disk
get value time: 0.00090854 s, token_id len: 10, device: disk
get  key  time: 0.00191408 s, token_id len: 31, device: disk
get value time: 0.00173966 s, token_id len: 31, device: disk
get  key  time: 0.00286526 s, token_id len: 19, device: disk
get value time: 0.00144716 s, token_id len: 19, device: disk
get  key  time: 0.00073044 s, token_id len: 10, device: disk
get value time: 0.00083913 s, token_id len: 10, device: disk
get  key  time: 0.00126763 s, token_id len: 26, device: disk
get value time: 0.00199612 s, token_id len: 26, device: disk
get  key  time: 0.00114812 s, token_id len: 24, device: disk
get value time: 0.00172418 s, token_id len: 24, device: disk
get  key  time: 0.00095380 s, token_id len: 10, device: disk
get value time: 0.00094471 s, token_id len: 10, device: disk
get  key  time: 0.00173569 s, token_id len: 25, device: disk
get value time: 0.00121320 s, token_id len: 25, device: disk
get  key  time: 0.00287344 s, token_id len: 25, device: disk
get value time: 0.00117091 s, token_id len: 25, device: disk
get  key  time: 0.00074081 s, token_id len: 10, device: disk
