sim_thred0.03,alpha0.8"acc": 0.5776173285198556
sim_thred0.17,alpha1.4"acc": 0.5776173285198556
sim_thred0.016,alpha0.6"acc": 0.5776173285198556
sim_thred0.09,alpha1.2"acc": 0.5776173285198556
sim_thred0.05,alpha1"acc": 0.5776173285198556
sim_thred0.3,alpha1.6"acc": 0.5631768953068592
sim_thred0.0045,alpha0.2"acc": 0.5776173285198556
sim_thred0.55,alpha1.8"acc": 0.5776173285198556
sim_thred0.0027,alpha0"acc": 0.5776173285198556
sim_thred0.009,alpha0.4"acc": 0.5776173285198556
sim_thred1,alpha2"acc": 0.5740072202166066
