dataset,model,method,time,load_time
copa-expand,13b,as+h2o+lfu,1667.1504841335118,827.7237786706537
copa-expand,13b,as+h2o+lru,2697.742969028186,1860.2800893541425
copa-expand,13b,as_like,2019.3172841132618,1786.2703651105985
copa-expand,13b,hyperinfer,468.82379199005663,52.499748189002275
copa-expand,13b,hyperinfer - cklfu,518.9519794555381,67.59582937182859
copa-expand,13b,hyperinfer - cklfu - reorder,520.4467973969877,66.04182896297425
copa-expand,13b,impress,812.6458486239426,368.36564353713766
copa-expand,13b,impress - cklfu,1057.8429238405079,608.0259232609533
copa-expand,13b,impress - cklfu - reorder,1064.182878117077,612.8232009508647
copa-expand,13b,oracle,0.0,249.1332035078667
copa-expand,13b,recompute,873.3505635024048,0.0
copa-expand,30b,as+h2o+lfu,769.6206874516793,390.541555932723
copa-expand,30b,as+h2o+lru,1160.2003426244482,782.6944937342778
copa-expand,30b,as_like,1031.783812912181,852.2690966529772
copa-expand,30b,hyperinfer,300.8716087900102,16.66321735549718
copa-expand,30b,hyperinfer - cklfu,311.83816096559167,17.974411591887474
copa-expand,30b,hyperinfer - cklfu - reorder,314.0168445324525,18.84201979218051
copa-expand,30b,impress,526.9497281704098,221.6948394374922
copa-expand,30b,impress - cklfu,642.6158658843488,347.45900652138516
copa-expand,30b,impress - cklfu - reorder,641.8406934021041,347.239372566808
copa-expand,30b,oracle,0.0,120.31135429814458
copa-expand,30b,recompute,457.1245713951066,0.0
copa-expand,6.7b,as+h2o+lfu,955.2392758755013,397.9764711400494
copa-expand,6.7b,as+h2o+lru,1305.3568280185573,749.1654908671044
copa-expand,6.7b,as_like,735.3330007283948,598.5412787878886
copa-expand,6.7b,hyperinfer,292.9100511283614,29.084824550896883
copa-expand,6.7b,hyperinfer - cklfu,305.1662930450402,35.16087108151987
copa-expand,6.7b,hyperinfer - cklfu - reorder,304.6803932688199,35.67620568256825
copa-expand,6.7b,impress,503.9518165742047,234.09159390162677
copa-expand,6.7b,impress - cklfu,601.8113701241091,321.1795990425162
copa-expand,6.7b,impress - cklfu - reorder,591.3844245248474,312.7473068954423
copa-expand,6.7b,oracle,0.0,151.97349837142974
copa-expand,6.7b,recompute,579.2884921091609,0.0
openbookqa-small,13b,as+h2o+lfu,3542.1969772134908,1348.1443089670502
openbookqa-small,13b,as+h2o+lru,4816.565801366232,2629.2265246054158
openbookqa-small,13b,as_like,5435.276705421507,4841.187500515953
openbookqa-small,13b,hyperinfer,1135.174374954775,12.378998172469437
openbookqa-small,13b,hyperinfer - cklfu,1015.6772603360005,11.843214093707502
openbookqa-small,13b,hyperinfer - cklfu - reorder,1015.0732231200673,12.179345570039004
openbookqa-small,13b,impress,1502.5857028779574,326.18407788220793
openbookqa-small,13b,impress - cklfu,1529.5869365120307,486.6827490758151
openbookqa-small,13b,impress - cklfu - reorder,1537.9598499382846,491.53847681032494
openbookqa-small,13b,oracle,0.0,118.64252005517483
openbookqa-small,13b,recompute,2145.913810407277,0.0
openbookqa-small,30b,as+h2o+lfu,0.0,0.0
openbookqa-small,30b,as+h2o+lru,0.0,0.0
openbookqa-small,30b,as_like,3646.959157721605,3034.1879273811355
openbookqa-small,30b,hyperinfer,921.1853495268151,7.816706038545817
openbookqa-small,30b,hyperinfer - cklfu,939.4190174257383,8.17742845416069
openbookqa-small,30b,hyperinfer - cklfu - reorder,932.2563498867676,7.576361809391528
openbookqa-small,30b,impress,1120.540057497099,193.7392256516032
openbookqa-small,30b,impress - cklfu,1236.3767037955113,310.9116874188185
openbookqa-small,30b,impress - cklfu - reorder,1236.9058200120926,311.16954649146646
openbookqa-small,30b,oracle,0.0,28.828550190199167
openbookqa-small,30b,recompute,1517.0941112083383,0.0
openbookqa-small,6.7b,as+h2o+lfu,1886.946426095441,563.6719596837647
openbookqa-small,6.7b,as+h2o+lru,2324.7045917254873,1004.8172701792791
openbookqa-small,6.7b,as_like,1654.7231995458715,1321.9578603617847
openbookqa-small,6.7b,hyperinfer,618.634036813397,11.702766700647771
openbookqa-small,6.7b,hyperinfer - cklfu,583.9737540530041,12.61222556233406
openbookqa-small,6.7b,hyperinfer - cklfu - reorder,581.6364218592644,12.690242645330727
openbookqa-small,6.7b,impress,828.8033717526123,220.75128700304776
openbookqa-small,6.7b,impress - cklfu,797.1011707191356,227.4778677392751
openbookqa-small,6.7b,impress - cklfu - reorder,797.4163289102726,229.13932766159996
openbookqa-small,6.7b,oracle,0.0,65.94589134212583
openbookqa-small,6.7b,recompute,1295.8270267155021,0.0
piqa-small,13b,as+h2o+lfu,4497.586801534984,1989.9501153738238
piqa-small,13b,as+h2o+lru,6601.185894507449,4102.2662496385165
piqa-small,13b,as_like,6063.817639656831,5406.761285954155
piqa-small,13b,hyperinfer,1153.3530678255484,12.875493414700031
piqa-small,13b,hyperinfer - cklfu,1198.030620385427,13.781692866235971
piqa-small,13b,hyperinfer - cklfu - reorder,1200.820877833292,14.467453154735267
piqa-small,13b,impress,1554.0919805229641,347.1513825696893
piqa-small,13b,impress - cklfu,1776.281619835645,531.2969669415615
piqa-small,13b,impress - cklfu - reorder,1785.7301635514013,540.6233149538748
piqa-small,13b,oracle,0.0,112.0975383981131
piqa-small,13b,recompute,2559.752394367475,0.0
piqa-small,30b,as+h2o+lfu,0.0,0.0
piqa-small,30b,as+h2o+lru,0.0,0.0
piqa-small,30b,as_like,1836.3340105679817,1346.7783156842925
piqa-small,30b,hyperinfer,713.1668056603521,6.887447108980268
piqa-small,30b,hyperinfer - cklfu,708.660420902539,6.481991330161691
piqa-small,30b,hyperinfer - cklfu - reorder,708.9793057641946,6.502861179411411
piqa-small,30b,impress,827.8647669530474,135.17144506890327
piqa-small,30b,impress - cklfu,867.8657924071886,160.77289934223518
piqa-small,30b,impress - cklfu - reorder,866.5536415302195,161.3303719055839
piqa-small,30b,oracle,0.0,15.31046632444486
piqa-small,30b,recompute,1015.9639864778146,0.0
piqa-small,6.7b,as+h2o+lfu,2305.594900540076,769.0477431961335
piqa-small,6.7b,as+h2o+lru,3023.6020898744464,1488.7073606713675
piqa-small,6.7b,as_like,1809.333016785793,1439.3739289864898
piqa-small,6.7b,hyperinfer,679.2647722046822,13.657198624685407
piqa-small,6.7b,hyperinfer - cklfu,665.5958047327586,14.037331302650273
piqa-small,6.7b,hyperinfer - cklfu - reorder,667.8519821488298,14.193219704087824
piqa-small,6.7b,impress,891.9074756260961,219.3832206884399
piqa-small,6.7b,impress - cklfu,897.8018814418465,246.19560539443046
piqa-small,6.7b,impress - cklfu - reorder,901.8595797461458,248.3227753220126
piqa-small,6.7b,oracle,0.0,66.07211300823838
piqa-small,6.7b,recompute,1551.3844626615755,0.0
rte-expand,13b,as+h2o+lfu,3325.686285117641,1277.7944438485429
rte-expand,13b,as+h2o+lru,4842.296198762022,2805.9130825675093
rte-expand,13b,as_like,4466.294247985352,3841.864876530133
rte-expand,13b,hyperinfer,1109.8291846038774,11.475055667571723
rte-expand,13b,hyperinfer - cklfu,1037.8665290661156,11.32652625394985
rte-expand,13b,hyperinfer - cklfu - reorder,1036.2874342226423,11.016075742896646
rte-expand,13b,impress,1468.4360303590074,333.71307522431016
rte-expand,13b,impress - cklfu,1454.3100030943751,415.1503340867348
rte-expand,13b,impress - cklfu - reorder,1445.2660046978854,407.8032967164181
rte-expand,13b,oracle,0.0,95.80801381962374
rte-expand,13b,recompute,2006.1161855165847,0.0
rte-expand,30b,as+h2o+lfu,1811.9068606067449,684.3842617268674
rte-expand,30b,as+h2o+lru,2829.455968510825,1709.444964802824
rte-expand,30b,as_like,2883.423328176141,2357.371942364145
rte-expand,30b,hyperinfer,833.3259694394656,8.049200161825866
rte-expand,30b,hyperinfer - cklfu,794.1029538325965,8.138345079962164
rte-expand,30b,hyperinfer - cklfu - reorder,787.9601121740416,8.040069608017802
rte-expand,30b,impress,1003.6412894343957,188.0282444092445
rte-expand,30b,impress - cklfu,1049.5652932422236,251.62542686145753
rte-expand,30b,impress - cklfu - reorder,1055.223805016838,256.46299106953666
rte-expand,30b,oracle,0.0,30.682038626633584
rte-expand,30b,recompute,1311.2908549322747,0.0
rte-expand,6.7b,as+h2o+lfu,1761.1217813030817,531.8195669832639
rte-expand,6.7b,as+h2o+lru,2308.2328734439798,1082.3965757279657
rte-expand,6.7b,as_like,1544.2550947149284,1195.0218681907281
rte-expand,6.7b,hyperinfer,620.7836568257771,11.130612960550934
rte-expand,6.7b,hyperinfer - cklfu,572.1910018441267,10.586424568202347
rte-expand,6.7b,hyperinfer - cklfu - reorder,571.0291661871597,10.455167698673904
rte-expand,6.7b,impress,799.9153384319507,201.8452369379811
rte-expand,6.7b,impress - cklfu,774.7796182553284,216.99947186000645
rte-expand,6.7b,impress - cklfu - reorder,761.6714350418188,206.4190234891139
rte-expand,6.7b,oracle,0.0,41.25071526132524
rte-expand,6.7b,recompute,1199.3780372482724,0.0
