opt-13b+copa-expand.jsonl, 
recompute,2037.0759489536285
Attention Store,1228.9213118553162
H2O+LRU,1358.8023114204407
H2O+LFU,2029.9717121124268
ours,366.84243607521057
ours+tech1,1394.9811551570892
ours+tech1+2,1419.9461069107056
 , 
opt-13b+openbookqa.jsonl, 
recompute,6132.107962846756
Attention Store,4405.183169603348
H2O+LRU,4489.629267454147
ours,1582.6091589927673
ours+tech1,1646.4965946674347
ours+tech1+2,1638.1530203819275
 , 
opt-13b+piqa-small.jsonl, 
recompute,2500.467317342758
Attention Store,5747.384116649628
H2O+LRU,3646.813626766205
H2O+LFU,3283.016902446747
ours,779.6222360134125
ours+tech1,823.4997148513794
ours+tech1+2,781.8108863830566
 , 
opt-13b+rte-expand.jsonl, 
recompute,3156.8266360759735
Attention Store,4039.474264383316
H2O+LRU,4144.018367052078
H2O+LFU,3154.019821166992
ours,1235.681492805481
ours+tech1,1548.3164603710175
ours+tech1+2,1495.3297383785248
 , 
opt-13b+squad-small.jsonl, 
recompute,1806.073475599289
Attention Store,6955.0506711006165
H2O+LRU,4866.978853702545
H2O+LFU,7138.864078044891
ours,841.9157557487488
 , 
opt-13b+sys_prompt.jsonl, 
recompute,905.1578726768494
Attention Store,905.1578726768494
H2O+LRU,1010.0926032066345
ours,1010.0926032066345
 , 
opt-30b+copa-expand.jsonl, 
recompute,1207.5039665699005
Attention Store,920.1762993335724
H2O+LRU,920.1762993335724
H2O+LFU,1207.5039665699005
ours,327.4144694805145
ours+tech1,1008.8547415733337
ours+tech1+2,1032.0985715389252
 , 
opt-30b+openbookqa.jsonl, 
recompute,3382.278776407242
Attention Store,2439.3437027931213
H2O+LRU,2848.771781682968
ours,1366.0408773422241
ours+tech1,1376.3193612098694
ours+tech1+2,1347.7240772247314
 , 
opt-30b+rte-expand.jsonl, 
recompute,2283.877230644226
Attention Store,2150.1998925209045
H2O+LRU,2580.5905895233154
H2O+LFU,1956.629422903061
ours,1005.0952122211456
ours+tech1,1386.1258306503296
ours+tech1+2,1081.64248585701
 , 
opt-30b+sys_prompt.jsonl, 
recompute,614.8952097892761
 , 
opt-6.7b+copa-expand.jsonl, 
recompute,870.7252218723297
Attention Store,889.5915849208832
H2O+LRU,752.4097545146942
H2O+LFU,1018.9403562545776
ours,233.69437050819397
ours+tech1,732.9294250011444
ours+tech1+2,713.3444254398346
 , 
opt-6.7b+openbookqa.jsonl, 
recompute,3012.047529220581
Attention Store,2300.298223733902
H2O+LRU,2656.9192378520966
ours,1027.4396646022797
ours+tech1,1031.1675055027008
ours+tech1+2,1032.1342203617096
 , 
opt-6.7b+piqa-small.jsonl, 
recompute,3411.542786836624
Attention Store,3411.542786836624
H2O+LRU,2252.2650952339172
H2O+LFU,1824.1942853927612
ours,490.59021186828613
ours+tech1,498.9091260433197
ours+tech1+2,481.75859355926514
 , 
opt-6.7b+rte-expand.jsonl, 
recompute,2928.119222164154
Attention Store,2928.119222164154
H2O+LRU,2259.1478419303894
H2O+LFU,1835.2916593551636
ours,759.3317296504974
ours+tech1,799.1676280498505
ours+tech1+2,756.8773612976074
 , 
opt-6.7b+squad-small.jsonl, 
recompute,1055.2965743541718
Attention Store,4310.466021776199
H2O+LRU,2751.876780986786
H2O+LFU,3899.2776045799255
ours,499.00290298461914
 , 
opt-6.7b+sys_prompt.jsonl, 
recompute,575.535609960556
Attention Store,575.535609960556
H2O+LRU,644.734379529953
H2O+LFU,569.4881892204285
ours,399.19659066200256
ours+tech1,249.03150010108948
ours+tech1+2,236.2107150554657
 , 
